--------------------
BDMEP - INMET
--------------------
Estação           : SAO SIMAO - SP (OMM: 83669)
Latitude  (graus) : -21.48
Longitude (graus) : -47.55
Altitude  (metros): 617.39
Estação Operante
Inicio de operação: 01/01/1920
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83669;31/01/1961;0000;36;1.967391;7;64.4;;;151.3;7.48913;23;241.6;;;28.519355;23.14;19.906452;82.693548;;
83669;28/02/1961;0000;36;1.5;5;59.2;;;146.1;7.595238;20;453.6;;;28.578571;22.945714;19.575;82.678571;;
83669;31/03/1961;0000;14;1.978495;7;91.1;;;217.6;5.290323;17;279.1;;;29.416129;23.110323;18.929032;75.491935;;
83669;30/04/1961;0000;0;2.122222;7;92;;;222;4.555556;8;101;;;28.586667;22.257333;17.45;72.25;;
83669;31/05/1961;0000;14;2.003226;9;102;;;265.9;3.645161;5;65.7;;;26.819355;20.076129;14.729032;68.943548;;
83669;30/06/1961;0000;9;2.444444;7;116;;;256.8;3.222222;1;1.4;;;26.416667;19.542667;13.94;64.975;;
83669;31/07/1961;0000;14;2.27957;7;174.3;;;296.7;1.88172;;0;;;27.577419;19.427097;12.535484;51.58871;;
83669;31/08/1961;0000;9;2.548387;12;231.1;;;287.9;1.612903;3;5.2;;;30.077419;21.887097;14.648387;43.185484;;
83669;30/09/1961;0000;9;2.766667;9;268.5;;;230.9;2.377778;1;0.3;;;34.603333;26.082;19.056667;40.725;;
83669;31/10/1961;0000;18;2.860215;9;196.4;;;166.2;5.634409;14;74.2;;;30.764516;24.270323;19.464516;58.717742;;
83669;30/11/1961;0000;0;2.477778;7;141.4;;;267.7;5.988889;12;199.9;;;31.54;24.794667;19.47;65.266667;;
83669;31/12/1961;0000;0;1.83871;5;94.3;;;174.2;7.182796;21;244.1;;;28.190323;22.415484;18.46129;76.282258;;
83669;31/01/1962;0000;14;1.849462;7;84.9;;;209.8;6.387097;15;291.3;;;29.309677;23.406452;19.122581;77.572581;;
83669;28/02/1962;0000;14;1.5;5;61.8;;;183.2;6.702381;13;237.8;;;29.228571;23.401429;19.328571;81.071429;;
83669;31/03/1962;0000;9;1.903226;9;69.7;;;187.2;6.494624;18;273.6;;;29.187097;22.92129;18.603226;78.354839;;
83669;30/04/1962;0000;0;2.2;7;101.6;;;265.6;3.9;5;12.7;;;29.496667;21.931333;15.603333;68.016667;;
83669;31/05/1962;0000;14;2.344086;12;121.5;;;266.2;3.645161;3;31.3;;;26.103226;18.871613;12.812903;64.733871;;
83669;30/06/1962;0000;14;2.377778;7;109.9;;;243.8;3.177778;9;54.7;;;24.033333;16.872667;11.043333;66.166667;;
83669;31/07/1962;0000;0;2.11828;9;148;;;277.3;2.956989;4;11.2;;;25.019355;16.866452;10.216129;58.830645;;
83669;31/08/1962;0000;18;2.301075;7;199.8;;;261.8;3.451613;5;37;;;28.332258;20.352258;13.622581;50;;
83669;30/09/1962;0000;14;3.422222;9;167.5;;;221.3;4.877778;6;39.4;;;30.026667;22.364667;16.476667;56.891667;;
83669;31/10/1962;0000;0;3.043011;9;101.8;;;168.8;7.505376;17;196.5;;;26.658065;21.200645;16.958065;74.516129;;
83669;30/11/1962;0000;23;3.033333;9;173.4;;;268.5;4.566667;9;52.7;;;30.443333;23.158667;17.056667;61.508333;;
83669;31/12/1962;0000;9;1.870968;7;79.8;;;153.6;7.623656;23;343;;;28.26129;23.193548;19.890323;81.362903;;
83669;31/01/1963;0000;0;1.892473;9;40;;;175.6;6.946237;19;425.7;;;29.403226;23.449677;19.812903;80.951613;;
83669;28/02/1963;0000;0;1.833333;7;85.4;;;218.1;6.47619;15;257.1;;;30.171429;23.838571;19.432143;76.375;;
83669;31/03/1963;0000;0;2.193548;9;134.4;;;291.6;4.569892;5;64.3;;;32.332258;25.003871;19.5;65.935484;;
83669;30/04/1963;0000;14;2.277778;5;153.9;;;280.7;3.122222;2;21.9;;;30.576667;22.873333;16.016667;57.533333;;
83669;31/05/1963;0000;14;2.462366;9;175.5;;;293.8;2.021505;0;0;;;28.232258;19.769677;12.409677;51.862903;;
83669;30/06/1963;0000;18;2.744444;9;163.3;;;272.8;2.655556;0;0;;;26.416667;18.635333;11.94;51.591667;;
83669;31/07/1963;0000;0;2.27957;9;198.8;;;287.1;1.462366;0;0;;;28.445161;20.021935;12.793548;44.072581;;
83669;31/08/1963;0000;0;1.924731;7;232.5;;;262.5;1.010753;2;13.6;;;30.212903;21.857419;14.929032;43.362903;;
83669;30/09/1963;0000;14;2.666667;9;279.6;;;221.5;1.922222;1;0.8;;;33.846667;25.754667;18.586667;39.125;;
83669;31/10/1963;0000;23;3.247312;9;215.9;;;178;6.44086;11;93.3;;;32.545161;25.352258;19.883871;59.354839;;
83669;30/11/1963;0000;0;2.533333;7;148.7;;;225.4;5.488889;11;172;;;32.213333;25.188;19.946667;67.141667;;
83669;31/12/1963;0000;0;3.376344;9;196;;;253.5;5.075269;10;62.6;;;32.190323;24.941935;19.483871;60.16129;;
83669;31/01/1964;0000;0;2.494624;9;108.3;;;213.7;6.989247;15;212.3;;;29.996774;24.136129;19.941935;75.201613;;
83669;29/02/1964;0000;18;1.758621;7;53.3;;;134.7;8.068966;18;289.6;;;28.555172;23.286207;19.751724;84.508621;;
83669;31/03/1964;0000;9;2.247312;9;123.2;;;250.2;4.698925;6;57.6;;;30.325806;23.294839;18.03871;70.935484;;
83669;30/04/1964;0000;14;2.244444;7;126.4;;;242;4.544444;3;17.1;;;30.436667;23.614;18.203333;68.116667;;
83669;31/05/1964;0000;0;2.301075;9;104.6;;;219.4;3.763441;6;103.5;;;25.887097;19.181935;13.896774;70.604839;;
83669;30/06/1964;0000;9;2.077778;7;96;;;246.1;3.4;5;27;;;25.49;17.951333;12.173333;71.358333;;
83669;31/07/1964;0000;14;2.537634;9;103.7;;;230.1;4.053763;7;47.2;;;23.680645;17.178065;11.919355;69.145161;;
83669;31/08/1964;0000;9;2.860215;7;171.2;;;282.2;2.860215;3;9.6;;;29.093548;21.682581;15.574194;59.266129;;
83669;30/09/1964;0000;5;3.377778;9;200;;;252.7;3.911111;5;87.8;;;30.816667;23.29;17.403333;58.416667;;
83669;31/10/1964;0000;18;2.075269;7;115.3;;;191.5;5.634409;13;152.8;;;28.303226;22.040645;17.016129;71.741935;;
83669;30/11/1964;0000;0;2.766667;9;133.5;;;245.3;5.155556;8;110.9;;;28.806667;22.174667;16.796667;69.316667;;
83669;31/12/1964;0000;14;2.086022;9;59.2;;;138.5;7.935484;21;393.6;;;27.025806;21.992258;18.651613;84.096774;;
83669;31/01/1965;0000;0;2.311828;9;63.1;;;140.6;7.870968;17;309.6;;;27.945161;22.570323;18.93871;81.330645;;
83669;28/02/1965;0000;0;1.761905;7;50.1;;;147.4;7.761905;21;387.6;;;28.242857;22.774286;19.353571;84.526786;;
83669;31/03/1965;0000;0;2.032258;9;70.7;;;206.4;6.483871;15;157;;;27.722581;21.550323;17.335484;79;;
83669;30/04/1965;0000;18;2.144444;9;74;;;259.7;3.744444;4;43.2;;;29.06;22.220667;16.876667;70.908333;;
83669;31/05/1965;0000;0;1.591398;5;100.6;;;235.6;3.935484;4;56.4;;;26.86129;19.857419;14.203226;71.556452;;
83669;30/06/1965;0000;14;2.133333;9;107;;;229.9;4.511111;3;24.1;;;26.85;20.026667;14.853333;69.575;;
83669;31/07/1965;0000;0;2.666667;12;112.7;;;229.2;4.397849;10;65.5;;;25.125806;18.801935;13.912903;69.935484;;
83669;31/08/1965;0000;0;2.580645;9;171.1;;;291.1;2.634409;2;3.8;;;28.845161;20.669677;15.536667;54.758065;;
83669;30/09/1965;0000;14;3.066667;9;209.7;;;227.4;3.933333;6;75.4;;;31.66;24.369333;18.143333;49.666667;;
83669;31/10/1965;0000;9;2.677419;9;118.3;;;198.2;6.83871;13;170.3;;;28.629032;22.510968;18.029032;70.58871;;
83669;30/11/1965;0000;18;2.244444;12;98.4;;;204.2;6.477778;12;97.9;;;29.22;23.237333;18.63;70.208333;;
83669;31/12/1965;0000;0;1.526882;7;66.3;;;167.6;7;23;285;;;29.070968;23.461935;19.819355;80.064516;;
83669;31/01/1966;0000;0;2.139785;7;76.2;;;189.4;7.88172;20;205.2;;;29.622581;23.58;19.474194;78.370968;;
83669;28/02/1966;0000;5;2.357143;7;84.8;;;214.2;6.809524;10;101.1;;;30.485714;24.516429;20.253571;74.303571;;
83669;31/03/1966;0000;27;2.182796;7;91.6;;;227.3;5.849462;15;162.8;;;29.390323;22.857419;18.112903;74.556452;;
83669;30/04/1966;0000;0;2.244444;7;83.2;;;249.9;4.9;9;104.1;;;28.513333;21.559333;16.226667;70.791667;;
83669;31/05/1966;0000;18;1.989247;9;97.4;;;213.5;5.554348;8;59.4;;;26.016129;19.904516;15.358065;71.032258;;
83669;30/06/1966;0000;0;1.922222;7;129.2;;;291.8;2.555556;0;0;;;27.21;19.091333;12.753333;61.458333;;
83669;31/07/1966;0000;18;2.935484;9;157.8;;;251.8;4.623656;2;2.2;;;27.251613;20.100645;14.890323;57.491935;;
83669;31/08/1966;0000;0;3.032258;9;172;;;268.8;3.946237;2;12.8;;;28.693548;20.766452;14.53871;53.137097;;
83669;30/09/1966;0000;18;2.822222;9;190.9;;;230.4;2.911111;6;35.2;;;29.516667;21.712667;15.213333;51.1;;
83669;31/10/1966;0000;9;2.666667;9;151.6;;;208.7;5.365591;14;100.6;;;30.296774;23.285161;17.906452;66.225806;;
83669;30/11/1966;0000;14;3.011111;9;126;;;243.4;5.877778;12;166.7;;;29.913333;23.235333;18.103333;67.366667;;
83669;31/12/1966;0000;0;2.763441;9;100.9;;;187.6;6.677419;17;290.3;;;30.009677;24.093548;19.770968;75.5;;
83669;31/01/1967;0000;0;2.365591;7;73.3;;;209.9;7.860215;23;345.1;;;29.493548;23.29871;19.422581;81.25;;
83669;28/02/1967;0000;0;1.702381;9;43.8;;;183.5;7.75;21;266.3;;;29.932143;23.737143;19.810714;81.696429;;
83669;31/03/1967;0000;0;1.623656;5;70.1;;;200.1;5.946237;16;122.5;;;29.874194;23.474839;19.496774;76.959677;;
83669;30/04/1967;0000;0;1.844444;5;119.4;;;254.5;3.422222;5;52.8;;;29.363333;22.419333;16.846667;66.491667;;
83669;31/05/1967;0000;14;2.419355;9;129.3;;;300.3;2.72043;2;10.5;;;28.441935;20.829677;14.596774;62.854839;;
83669;30/06/1967;0000;18;1.966667;9;99.1;;;213;4.7;6;59.6;;;26.036667;19.38;14.246667;67.883333;;
83669;31/07/1967;0000;0;2.752688;12;152.5;;;276.7;3.430108;1;2.1;;;26.929032;19.476774;13.509677;57.733871;;
83669;31/08/1967;0000;9;2.430108;9;227.4;;;288.8;2.698925;0;0;;;30.970968;22.985161;16.077419;42.524194;;
83669;30/09/1967;0000;9;3.466667;12;198.6;;;238.3;4.255556;5;92.7;;;30.813333;23.146667;17.28;54.616667;;
83669;31/10/1967;0000;0;2.494624;9;156.6;;;204.8;6.107527;12;136.1;;;30.306452;23.836129;19.041935;63.612903;;
83669;30/11/1967;0000;14;2.944444;7;111.9;;;188.4;6.755556;16;257.5;;;28.8;22.784667;18.303333;72.591667;;
83669;31/12/1967;0000;0;2.419355;9;84.9;;;132.9;7.365591;20;308;;;27.454839;22.127742;18.335484;77.830645;;
83669;31/01/1968;0000;0;1.935484;5;77.3;;;195.6;6.290323;17;253.5;;;29.932258;23.465161;19.370968;74.943548;;
83669;29/02/1968;0000;18;3.034483;9;82;;;218.7;6.183908;10;88.6;;;29.2;22.95931;18.548276;72.672414;;
83669;31/03/1968;0000;14;2.505376;7;88.8;;;256.1;5.193548;12;124.8;;;30.812903;23.58129;18.580645;71.822581;;
83669;30/04/1968;0000;0;2.6;7;92.8;;;272.7;3.133333;3;39.4;;;28.033333;20.574667;14.413333;64.491667;;
83669;31/05/1968;0000;0;2.258065;9;103;;;297.4;1.677419;2;7.3;;;26.245161;17.445806;10.325806;61.887097;;
83669;30/06/1968;0000;0;2.066667;9;118.9;;;282.3;2.377778;3;6.1;;;26.25;18.553333;12.23;56.408333;;
83669;31/07/1968;0000;14;2.967742;9;143.3;;;277.8;2.623656;3;3.2;;;26.403226;18.456129;11.993548;53.193548;;
83669;31/08/1968;0000;14;3.408602;9;162.8;;;248.9;3.44086;7;50.1;;;26.9;19.501935;13.454839;52.072581;;
83669;30/09/1968;0000;0;3.611111;9;176.1;;;246.4;3.777778;3;27.4;;;29.05;21.782;15.823333;49.683333;;
83669;31/10/1968;0000;0;3.182796;10;154;;;254.4;5.139785;6;107.5;;;30.83871;23.447097;17.622581;59.629032;;
83669;30/11/1968;0000;14;3.455556;9;162.9;;;205.2;5.955556;9;113;;;31.456667;24.933333;19.806667;59.658333;;
83669;31/12/1968;0000;0;2.322581;7;91;;;196.7;5.88172;16;118;;;29.929032;24.11871;19.564516;71.435484;;
83669;31/01/1969;0000;0;1.623656;7;107;;;241.5;5.903226;13;149;;;31.851613;24.976774;19.912903;69.419355;;
83669;28/02/1969;0000;0;1.416667;5;69.6;;;196.6;6.357143;15;215.1;;;31.596429;24.943571;20.528571;77;;
83669;31/03/1969;0000;14;1.88172;7;81.3;;;252.3;4.784946;13;142.6;;;31.470968;24.311613;19.3;71.919355;;
83669;30/04/1969;0000;0;2.277778;7;88.2;;;280.5;3.866667;9;64.3;;;29.273333;21.929333;16.346667;69.325;;
83669;31/05/1969;0000;0;1.924731;9;113.9;;;265.1;4.086022;3;23.7;;;28.458065;20.479355;14.06129;63.080645;;
83669;30/06/1969;0000;0;2.377778;12;112;;;257.1;3.122222;3;14.8;;;26.753333;19.494667;13.396667;62.558333;;
83669;31/07/1969;0000;18;2.451613;9;142.3;;;278.6;2.956989;2;3.9;;;27.445161;19.54129;13.129032;57;;
83669;31/08/1969;0000;9;2.978495;7;151.1;;;287.9;3.301075;4;30.7;;;30.270968;22.149032;15.596774;52.887097;;
83669;30/09/1969;0000;18;3.244444;12;198.7;;;233.3;5.426966;3;46;;;32.94;24.892667;18.576667;51.45;;
83669;31/10/1969;0000;0;3.268817;9;116.2;;;207.4;6.827957;11;172.2;;;28.722581;21.872903;16.687097;69.790323;;
83669;30/11/1969;0000;0;2.244444;7;84.1;;;183.1;7.577778;20;245.3;;;28.713333;22.992;18.81;75.991667;;
83669;31/12/1969;0000;0;1.827957;7;97.9;;;238.7;5.430108;14;285.2;;;29.196774;22.823871;17.916129;71.008065;;
83669;31/01/1970;0000;0;1.870968;7;65.9;;;199.6;7.333333;20;511.5;;;29.690323;23.6;19.441935;78.508065;;
83669;28/02/1970;0000;0;1.97619;7;47.3;;;132.5;7.416667;20;406.5;;;28.478571;23.012143;19.45;81.982143;;
83669;31/03/1970;0000;0;1.860215;7;82;;;234.1;5.505376;11;68.2;;;31.103226;24.144516;19.506452;73.193548;;
83669;30/04/1970;0000;0;1.988889;5;96.6;;;274.6;4.066667;4;23;;;29.926667;22.562667;16.57;67.25;;
83669;31/05/1970;0000;14;0.913978;7;92.2;;;206.2;3.763441;5;51;;;28.474194;21.120645;15.748387;67.798387;;
83669;30/06/1970;0000;0;1.922222;7;99.9;;;234.8;4.411111;4;35.2;;;27.703333;20.492;15.283333;67;;
83669;31/07/1970;0000;18;3.365591;9;118.7;;;263.8;3.827957;7;20.6;;;25.545161;18.936774;13.9;64.532258;;
83669;31/08/1970;0000;14;3.634409;12;155.5;;;289.6;2.860215;6;85.8;;;27.109677;19.971613;14.183871;57.08871;;
83669;30/09/1970;0000;14;2.833333;7;59;;;197.5;5.855556;11;92.6;;;28.01;21.272667;15.986667;68.783333;;
83669;31/10/1970;0000;0;2.688172;9;116.9;;;230.5;6.225806;11;139.4;;;29.854839;22.863871;17.470968;70.943548;;
83669;30/11/1970;0000;5;2.277778;9;107.4;;;230.1;4.822222;10;137.9;;;28.556667;21.908;16.64;67.466667;;
83669;31/12/1970;0000;0;1.731183;9;116.3;;;240.2;5.817204;14;187.5;;;31.325806;24.243226;19.209677;72.024194;;
83669;31/01/1971;0000;0;1.449231;7;148.3;;;;5.538462;;;;941.473438;32.345161;;18.554839;;;
83669;28/02/1971;0000;23;1.1625;9;128;;;;5.691358;15;218.3;;941.627848;32.371429;24.281667;19.274074;70.4;;
83669;31/03/1971;0000;0;0.754839;7;102.4;;;210.8;5.333333;16;182.8;;941.66129;30.751613;23.590968;19.029032;77.83871;;
83669;30/04/1971;0000;18;0.7;5;98;;;249.6;3.9;10;117.4;;942.971111;28.883333;21.540667;16.556667;75.791667;;
83669;31/05/1971;0000;0;0.860215;7;52.1;;;233.5;3.88172;;47.1;;946.005376;26.890323;18.631613;13.151613;74.475806;;
83669;30/06/1971;0000;0;0.922222;5;77.1;;;192.3;4.755556;;103.2;;946.217778;25.16;17.266667;11.536667;77.008333;;
83669;31/08/1971;0000;0;2.806452;9;187.3;;;283;2.790323;;1.3;;946.91129;;;12.367742;;;
83669;30/09/1971;0000;9;2.466667;8;171.6;;;213.3;5.05;;;;944.811667;26.273077;;14.063333;;;
83669;31/10/1971;0000;5;2.548387;9;148.9;;;230.5;6.983871;;;;944.203226;27.9875;;16.596774;;;
83669;30/11/1971;0000;0;2.633333;7;149.5;;;193.7;6.883333;;;;941.421667;27.8;;16.71;;;
83669;31/12/1971;0000;32;1.725806;9;84.6;;;134.8;8.951613;;;;940.71129;;;19.067742;;;
83669;31/01/1972;0000;9;1.129032;7;112.8;;;167.3;7.83871;19;370.5;;941.757377;;;18.545161;;;
83669;29/02/1972;0000;0;1.827586;7;72.8;;;125.1;9.137931;;;;942.265517;;;19.131034;;;
83669;31/03/1972;0000;18;1.688172;5;102;;;234.9;5.430108;;155.7;;942.148387;31.029032;23.514194;18.380645;78.112903;;
83669;30/04/1972;0000;14;1.933333;7;113.9;;;249;4;;34.6;;944.088889;27.813333;19.746;13.76;73.116667;;
83669;31/05/1972;0000;14;1.655914;7;129.6;;;258.2;2.989247;;84.3;;944.913978;28.274194;19.320645;12.619355;69.120968;;
83669;30/06/1972;0000;14;1.255556;7;129.5;;;268.8;1.311111;;0.7;;946.07;28.433333;17.275333;9.79;69.366667;;
83669;31/07/1972;0000;14;1.946237;7;114.4;;;220.4;4.677419;;137.6;;946.139785;26.083871;17.566452;10.996774;68.75;;
83669;31/08/1972;0000;9;2.258065;12;166.4;;;232.6;3.956989;;68.4;;944.541935;27.225806;19.16;13.035484;67.008065;;
