--------------------
BDMEP - INMET
--------------------
Estação           : CHAPECO - SC (OMM: 83883)
Latitude  (graus) : -27.11
Longitude (graus) : -52.61
Altitude  (metros): 679.01
Estação Operante
Inicio de operação: 10/05/1973
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83883;31/07/1973;0000;9;3.336957;9;57.7;;;134.7;6.326087;;208.7;;942.463043;18.380645;13.905806;10.745161;79.870968;;
83883;31/08/1973;0000;0;2.946237;12;87;;;146.1;5.946237;15;257.7;;942.402151;18.222581;13.318065;9.409677;78.306452;;
83883;30/09/1973;0000;14;3.755556;12;87.5;;;145.6;5.788889;17;260.5;;941.732222;20.973333;15.778;11.523333;78.116667;;
83883;31/10/1973;0000;9;3.473118;12;140.9;;;231.3;5.526882;;150;;937.469892;24.958065;18.648387;13.448387;69.274194;;
83883;30/11/1973;0000;5;3.566667;12;154.2;;;265.2;4.577778;;103.5;;937.955556;25.383333;19.384667;13.946667;66.558333;;
83883;31/12/1973;0000;0;2.684783;12;123.2;;;213.5;6.204301;18;136.3;;935.937634;27.009677;21.65871;17.519355;79.233871;;
83883;31/01/1974;0000;14;3.11828;9;101.7;;;225.4;6.365591;16;270.6;;936.046237;28.222581;22.574194;18.512903;81.790323;;
83883;28/02/1974;0000;14;2.642857;7;82.5;;;212.2;6.309524;;87.2;;937.171429;28.639286;22.735;18.878571;82.651786;;
83883;31/03/1974;0000;32;3.421505;12;87.7;;;241.3;5.580645;;98.2;;936.673118;27.416129;21.396129;17.183871;83.548387;;
83883;30/04/1974;0000;18;2.988889;9;102.5;;;220.2;4.855556;;86.4;;940.588889;24.676667;18.151333;13.493333;76.241667;;
83883;31/05/1974;0000;23;3.010753;12;93.3;;;200.7;5.397849;;146.5;;941.233333;21.735484;16.090323;12.187097;80.967742;;
83883;30/06/1974;0000;9;3.344444;12;81.4;;;157.4;4.833333;;173.8;;940.618889;17.13;11.635333;7.516667;80.158333;;
83883;31/07/1974;0000;9;2.591398;7;125.5;;;206.8;4.419355;;56.8;;943.886957;21.574194;15.821935;11.709677;73.572581;;
83883;31/08/1974;0000;36;3.698925;12;150.8;;;221.8;4.677419;;125.2;;940.193548;21.393548;15.206452;10.758065;72.75;;
83883;30/09/1974;0000;18;3.968889;12;164;;;167.2;4.433333;;53.7;;940.838889;23.656667;17.739333;13.186667;62.383333;;
83883;31/10/1974;0000;14;3.072043;12;152.3;;;244.3;4.677419;;203.3;;938.075269;24.73;18.316667;12.348387;63.306452;;
83883;30/11/1974;0000;0;3.659091;12;136;;;277.9;3.977778;;173.5;;936.631111;25.42069;19.28;13.731034;65.933333;;
83883;31/12/1974;0000;5;3.356989;9;120.8;;;249.1;6.182796;;163.6;;935.826882;27.051613;21.452903;16.748387;74.58871;;
83883;31/01/1975;0000;18;2.741935;9;113.6;;;230.2;6.688172;;169.1;;937.643011;26.951613;21.286452;16.845161;77.040323;;
83883;28/02/1975;0000;14;3.214286;12;77.2;;;209.1;5.821429;;213.5;;936.346429;27.775;22.676429;18.789286;81.330357;;
83883;31/03/1975;0000;9;3;7;77.1;;;211.6;6.956989;;98.2;;939.21828;27.135484;21.231613;17.416129;82.870968;;
83883;30/04/1975;0000;14;2.988889;12;83.6;;;229.4;5.011111;;84.8;;939.063333;24.26;18.209333;13.826667;84.625;;
83883;31/05/1975;0000;14;3.010753;7;85.1;;;218.6;4.913978;;94.4;;942.21828;21.451613;15.534839;11.206452;82.475806;;
83883;30/06/1975;0000;5;2.822222;12;67.9;;;187.4;4.644444;;206;;943.031111;19.92;14.369655;10.524138;86.425;;
83883;31/07/1975;0000;5;3.27957;12;112.2;;;203.1;4.817204;;107.1;;942.613978;18.703226;12.713548;8.319355;68.41129;;
83883;31/08/1975;0000;5;3.333333;12;113.6;;;166.3;6.236559;;208.8;;939.794624;22.496774;16.923871;13.058065;74.927419;;
83883;30/09/1975;0000;5;2.640449;12;94.8;;;147.1;7.422222;16;285.9;;940.202222;22.24;17.076;13.463333;81.166667;;
83883;31/10/1975;0000;9;1.193548;5;107.7;;;214.3;7.086022;;252.5;;938.021505;23.396774;17.785806;13.703226;75.774194;;
83883;30/11/1975;0000;14;1.6;5;110.8;;;254.2;5.166667;;92.1;;936.12;25.443333;19.618;14.643333;71.516667;;
83883;31/12/1975;0000;14;1.333333;5;99.3;;;248.1;6.354839;;298.6;;936.446237;27.629032;21.896774;17.390323;76.016129;;
83883;31/01/1976;0000;9;1.430108;7;78;;;196.3;7.473118;20;327.7;;936.441935;27.903226;22.536774;18.980645;83.217742;;
83883;29/02/1976;0000;9;1.149425;5;97.1;;;268.2;5.057471;;104.2;;936.255172;27.5;21.675172;16.972414;74.655172;;
83883;31/03/1976;0000;36;1.247312;5;82.1;;;207.8;5.44086;;149.6;;937.878495;26.103226;19.82129;15.645161;79.967742;;
83883;30/04/1976;0000;0;1.3;5;87.5;;;241.9;4.177778;;94.7;;940.006667;23.336667;17.056667;12.536667;77.45;;
83883;31/05/1976;0000;14;1.430108;5;65.5;;;162;5.913978;;117.3;;940.269892;19.709677;14.5;11.132258;83.612903;;
83883;30/06/1976;0000;9;1.633333;6;72.9;;;157.2;5.666667;;80.6;;940.651111;17.63;12.593333;9.1;78.633333;;
83883;31/07/1976;0000;14;1.569892;6;110.7;;;176.8;4.623656;;169.5;;942.532258;19.651613;13.943871;9.790323;74.733871;;
83883;31/08/1976;0000;9;1.150538;4;124.9;;;215.5;3.989247;;153.8;;940.801075;20.964516;14.549677;9.722581;67.467742;;
83883;30/09/1976;0000;9;1.277778;6;121.9;;;154.2;5.644444;;105.6;;939.42;21.463333;15.920667;11.693333;70.033333;;
83883;31/10/1976;0000;0;1.419355;8;134.8;;;246.1;4.247312;;208.2;;938.290323;24.670968;18.031613;12.925806;70.362903;;
83883;30/11/1976;0000;5;1.255556;4;118.6;;;244.2;4.933333;;236.6;;936.151111;26.75;20.746667;15.566667;66.916667;;
83883;31/12/1976;0000;5;1.236559;3;135.8;;;290.5;5.258065;;163.2;;934.467742;28.067742;22.08129;17.029032;70.370968;;
83883;31/01/1977;0000;36;2.365591;7;96.7;;;180.3;7.526882;15;147.6;;934.635484;27.990323;22.729032;18.951613;78.274194;;
83883;28/02/1977;0000;14;2.785714;7;89.4;;;239.3;6.25;17;325.1;;938.864286;30.5;23.821429;19.735714;75.642857;;
83883;31/03/1977;0000;14;2.311828;9;79.9;;;195.1;6.182796;14;166.5;;937.154839;27.009677;21.730323;17.86129;81.370968;;
83883;30/04/1977;0000;14;2.733333;10;89.7;;;218;4.311111;9;35.4;;939.693333;23.833333;17.790667;13.22;75.258333;;
83883;31/05/1977;0000;14;2.505376;7;89.2;;;201.4;5.387097;6;91.3;;940.865591;22.325806;16.172258;12.3;78;;
83883;30/06/1977;0000;5;2.488889;10;86.4;;;201.8;4.9;7;171.1;;941.261111;21.33;15.502;11.443333;75.891667;;
83883;31/07/1977;0000;5;3.483871;9;155.1;;;181.5;4.892473;9;86.7;;938;23.66129;18.003226;13.954839;67.419355;;
83883;31/08/1977;0000;5;3.163043;12;93.8;;;157.8;6.139785;13;195.3;;939.211828;20.796774;15.521935;11.516129;77.193548;;
83883;30/09/1977;0000;14;2.633333;12;123.5;;;206.7;4.311111;7;126.2;;940.158889;24.933333;18.831333;14.246667;70.308333;;
83883;31/10/1977;0000;9;2.827957;9;126;;;231.2;5.096774;10;154.5;;939.119355;26.619355;20.535484;15.76129;72.725806;;
83883;30/11/1977;0000;32;2.355556;7;100.2;;;199.3;5.977778;13;270.7;;936.294444;26.466667;20.984667;16.383333;74.458333;;
83883;31/12/1977;0000;5;2.236559;7;133.8;;;244.4;5.354839;12;78.9;;936.684946;28.819355;22.718065;17.877419;71.919355;;
83883;31/01/1978;0000;14;2.698925;7;148.5;;;248.3;5.591398;12;154.6;;937.115054;29.822581;23.709677;19.148387;69.83871;;
83883;28/02/1978;0000;9;1.77381;5;136.7;;;246.9;3.785714;7;66.9;;936.525;29.717857;23.101429;17.864286;64.553571;;
83883;31/03/1978;0000;14;2.150538;7;145.2;;;249;4.27957;7;77.3;;937.986022;29.364516;22.928387;18.222581;66.758065;;
