Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83190,30/04/1961,0000,14,5,91.6,,,,3.872093,5,16.2,,970.901163,30.317241,24.097931,20.406897,78.775862,,
83190,31/05/1961,0000,14,7,103.8,,,,4.55914,6,21.9,,972.812903,29.093548,23.072903,19.470968,79.774194,,
83190,30/06/1961,0000,14,6,68.6,,,,4.844444,19,67.4,,974.436667,26.55,21.308667,18.513333,84.616667,,
83190,31/07/1961,0000,14,5,65.6,,,,4.322581,18,47,,975.410753,25.019355,19.956774,16.977419,84.274194,,
83190,31/08/1961,0000,14,5,103.7,,,,4.172043,8,14.1,,975.522581,26.716129,20.67871,16.767742,77.040323,,
83190,30/09/1961,0000,14,5,139,,,,3.333333,0,0,,973.236667,29.89,22.52,17.99,72.041667,,
83190,31/10/1961,0000,14,5,141.5,,,,3.827957,8,33.2,,972.244086,29.874194,23.129677,19.190323,74.379032,,
83190,31/12/1961,0000,14,5,160.4,,,,4.5,4,9.2,,970.23913,31.545161,24.785806,20.577419,73.241935,,
83190,31/01/1962,0000,14,5,161.8,,,,3.817204,4,75.4,,968.93871,33.322581,26.132903,21.545161,72.919355,,
83190,28/02/1962,0000,14,5,163.8,,,,3.392857,3,5.5,,969.616667,33.453571,26.008571,21.396429,76.732143,,
83190,31/03/1962,0000,14,6,122.4,,,,3.978495,10,135.2,,970.344086,30.596774,24.800645,21.190323,82.330645,,
83190,31/05/1962,0000,0,4,66.7,,,,5.467391,11,117.6,,972.634783,27.2,22.347097,19.583871,85.25,,
83190,30/06/1962,0000,0,5,42.5,,,,5.322222,16,107.5,,974.446667,24.69,20.47,18.2,88.133333,,
83190,31/07/1962,0000,0,5,41.5,,,,5.462366,19,136.1,,975.692473,24.377419,19.918065,17.370968,88.516129,,
83190,31/08/1962,0000,14,5,66.8,,,,4.311828,18,64.7,,974.92043,26.067742,20.556774,17.583871,84.379032,,
83190,30/09/1962,0000,14,6,,,,,3.716418,4,7.3,,973.541791,28.682609,22.034545,18.147826,83.068182,,
83190,31/10/1962,0000,14,6,139.3,,,,3.419355,5,25,,972.621505,30.703226,23.605806,19.596774,81.814516,,
83190,30/11/1962,0000,14,5,107.7,,,,4.355556,6,97,,970.214444,30.173333,23.918,20.22,82.233333,,
83190,31/12/1962,0000,14,5,108.5,,,,4.290323,8,30,,970.239785,30.996774,24.617419,20.945161,81.967742,,
83190,31/01/1963,0000,0,5,129.1,,,,3.333333,4,102.4,,969.270968,32.912903,25.079355,20.535484,78.943548,,
83190,28/02/1963,0000,0,6,86.4,,,,4.404762,8,165.8,,969.953571,30.846429,24.393571,20.775,82.357143,,
83190,31/03/1963,0000,0,5,95.7,,,,3.752688,7,19.1,,970.955914,30.509677,24.267742,20.670968,81.548387,,
83190,31/05/1963,0000,0,5,38.8,,,,5.913043,22,154.1,,973.63913,25.241935,21.139355,18.790323,90.685484,,
83190,30/06/1963,0000,0,5,48.2,,,,5.466667,11,25.5,,975.47,25.266667,20.546667,17.903333,89.683333,,
83190,31/07/1963,0000,0,5,48.6,,,,4.593023,14,53.1,,975.451163,24.735714,19.547857,16.637931,88.705357,,
83190,31/08/1963,0000,14,5,97.1,,,,4.375,8,42,,975.20375,27.222222,20.487407,16.374074,82.037037,,
83190,30/09/1963,0000,14,5,156.1,,,,4.022222,6,15.4,,973.918889,29.44,22.104667,17.683333,78.616667,,
83190,31/10/1963,0000,14,5,221.1,,,,3.107527,1,0.4,,972.793548,32.306452,24.143226,19.296774,72.072581,,
83190,30/11/1963,0000,0,5,182.2,,,,4.022222,10,81,,970.383333,32.68,25.120667,20.693333,76.083333,,
83190,31/12/1963,0000,0,5,121.4,,,,5.903226,17,180.5,,970.486022,29.929032,24.001935,20.280645,80.653226,,
83190,31/01/1964,0000,0,4,88.7,,,,5.419355,13,133.6,,970.013978,30.374194,24.923226,21.667742,82.314516,,
83190,29/02/1964,0000,0,5,91.7,,,,4.08046,10,84.3,,969.194253,30.97931,24.946207,21.475862,79.543103,,
83190,31/03/1964,0000,0,4,65.9,,,,5.215054,20,114.4,,971.516129,29.525806,24.032903,20.977419,85,,
83190,31/05/1964,0000,0,5,42.1,,,,6.717391,24,233,,973.004348,27.122581,22.472258,19.996774,89.685484,,
83190,30/06/1964,0000,0,5,52.3,,,,5.344444,11,84,,973.793333,25.876667,21.169333,18.323333,87.816667,,
83190,31/07/1964,0000,0,5,44.9,,,,6.215054,19,113.4,,974.674194,25.3,20.551613,18.051613,89.274194,,
83190,31/08/1964,0000,14,5,58.3,,,,5.172043,21,130.5,,975.409677,25.793548,20.529032,17.567742,87.354839,,
83190,30/09/1964,0000,14,5,84.2,,,,4.788889,15,56.7,,975.067778,27.04,21.016667,17.353333,83.325,,
83190,31/10/1964,0000,14,5,120.6,,,,4.494624,8,107,,972.113978,28.929032,22.623226,19.064516,80.25,,
83190,30/11/1964,0000,0,5,112.1,,,,5.544444,9,129.9,,970.98,29.086667,23.004667,19.633333,80.183333,,
83190,31/12/1964,0000,0,5,140.3,,,,3.956989,5,143.5,,969.654839,30.935484,23.775484,19.758065,77.685484,,
83190,31/01/1965,0000,,,,,,,,,0,,,,,,,,
