Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82212,31/01/1961,0000,0,0.086022,2,,,,,4.053763,22,295.8,,,30.506452,25.568387,22.751613,88.814516,,
82212,28/02/1961,0000,0,0.321429,3,,,,,5.083333,6,103.2,,,31.4,25.932857,22.471429,86.553571,,
82212,31/03/1961,0000,0,0.258065,5,,,,,4.086022,18,268.2,,,30.5,25.47871,22.793548,88.596774,,
82212,30/04/1961,0000,0,0.322222,2,,,,,5.588889,14,164,,,31.36,25.861333,22.83,88.516667,,
82212,31/05/1961,0000,0,0.193548,2,,,,,4.806452,21,336.8,,,30.303226,25.537419,22.693548,89.467742,,
82212,30/06/1961,0000,0,0.566667,8,,,,,3.577778,17,395,,,29.11,24.569333,21.846667,89.925,,
82212,31/07/1961,0000,0,0.16129,1,,,,,5.139785,12,64.8,,,30.109677,25.300645,22.3,88.475806,,
82212,31/08/1961,0000,0,0.129032,3,,,,,5.526882,10,116,,,31.603226,25.845806,22.419355,87.701613,,
82212,30/09/1961,0000,0,0.133333,3,,,,,6.077778,8,61,,,32.513333,25.998,21.946667,86.225,,
82212,31/10/1961,0000,0,0.150538,3,,,,,6.053763,17,228.6,,,31.23871,25.670968,22.270968,88.419355,,
82212,31/12/1961,0000,0,0.326087,8,,,,,5.021739,16,233.5,,,30.858065,25.814839,22.387097,87.040323,,
82212,31/01/1962,0000,0,0.483871,9,,,,,4.903226,13,247.2,,,30.516129,25.610968,22.583871,87.645161,,
82212,28/02/1962,0000,0,0.333333,2,,,,,4.285714,14,224.2,,,30.475,25.691429,22.842857,88.625,,
82212,31/03/1962,0000,0,0.247312,3,,,,,4.731183,18,179.1,,,30.229032,25.295484,22.477419,89.064516,,
82212,30/04/1962,0000,0,0.255556,4,,,,,4.433333,21,256.2,,,29.773333,25.217333,22.52,89.683333,,
82212,31/05/1962,0000,0,0.258065,3,,,,,4.774194,18,424,,,30.045161,25.385161,22.712903,89.41129,,
82212,30/06/1962,0000,0,0.688889,5,,,,,4.111111,16,174.4,,,29.49,24.9,22.253333,90.208333,,
82212,31/07/1962,0000,0,0.387097,5,,,,,4.075269,18,210.8,,,28.616129,24.321935,21.725806,91.217742,,
82212,31/08/1962,0000,0,0.419355,2,,,,,5.483871,10,190.2,,,31.66129,25.592903,21.877419,87.766129,,
82212,30/09/1962,0000,0,0.633333,4,,,,,5.933333,9,129.6,,,32.403333,26.419333,22.626667,85.591667,,
82212,31/10/1962,0000,0,0.516129,3,,,,,5.752688,7,114.8,,,31.745161,25.820645,22.183871,86.758065,,
82212,31/01/1964,0000,0,0.336957,3,,,,,4.98913,4,67.8,,,32.441935,26.639355,22.835484,85.830645,,
82212,29/02/1964,0000,0,0.445783,3,,,,,,10,197.5,,,31.517241,26.052414,22.934483,87.732759,,
82212,31/03/1964,0000,0,0.413043,5,,,,,,14,236.1,,,30.245161,25.347742,22.709677,89.766129,,
82212,30/04/1964,0000,0,0.159091,3,,,,,,20,309.2,,,30.58,25.429333,22.613333,89.05,,
82212,31/05/1964,0000,0,0.344086,5,,,,,,18,325.4,,,29.974194,24.976129,22.435484,90.427419,,
82212,30/06/1964,0000,0,0.4,5,,,,,,20,291.6,,,29.413333,24.701333,21.706667,90.258333,,
82212,31/07/1964,0000,0,0.537634,5,,,,24.8,4.663043,14,150.4,,,29.412903,24.571613,21.325806,89.080645,,
82212,31/08/1964,0000,0,0.333333,2,,,,,5.193548,19,253,,,30.645161,25.104516,21.748387,89.08871,,
82212,30/09/1964,0000,0,0.3,3,,,,21.1,5.733333,13,200,,,31.08,25.409333,21.69,87.275,,
82212,31/10/1964,0000,0,0.419355,3,,,,,5.763441,9,212.4,,,31.806452,25.636774,21.787097,87.016129,,
82212,31/12/1964,0000,0,0.423913,2,,,,25.6,4.619565,6,96,,,30.141935,25.056774,21.612903,88.524194,,
82212,31/01/1965,0000,0,0.193548,2,,,,,6.688172,17,269.8,,,30.296774,25.332903,21.56129,88.104839,,
82212,28/02/1965,0000,0,0.285714,2,,,,,6.797619,12,113.2,,,31.089286,25.678571,21.846429,87.8125,,
82212,31/03/1965,0000,0,0.494624,6,,,,,7.043011,16,155.8,,,30.419355,24.994839,21.777419,88.854839,,
82212,30/04/1965,0000,0,0.577778,7,,,,,6.966667,15,261.8,,,30.89,25.319333,21.886667,89.5,,
82212,31/05/1965,0000,0,0.247312,2,,,,,6.784946,21,310,,,30.280645,25.201935,22.003226,90.185484,,
82212,30/06/1965,0000,0,0.422222,3,,,,,6.566667,18,211.2,,,29.966667,24.8,21.323333,90.066667,,
82212,31/07/1965,0000,0,0.344086,2,,,,,6.516129,11,96.2,,,30.532258,24.916774,21.151613,88.693548,,
82212,31/08/1965,0000,0,0.677419,6,,,,,5.55914,9,150,,,31.216129,25.333548,21.335484,86.387097,,
82212,30/09/1965,0000,0,0.311111,4,,,,,6.422222,17,312.6,,,31.93,25.639333,21.57,88.25,,
82212,31/10/1965,0000,0,0.505376,3,,,,,6.021505,5,43.4,,,32.758065,26.343871,22.312903,86.508065,,
82212,31/12/1965,0000,,,,,,,,,,77.2,,,,,,,,
82212,31/01/1966,0000,0,0.365591,3,,,,,6.83871,20,100.6,,,31.080645,25.79871,22.629032,87.766129,,
82212,28/02/1966,0000,0,0.452381,3,,,,,5.619048,11,73.4,,,31.342857,26.235,22.842857,86.857143,,
82212,31/03/1966,0000,0,0.569892,4,,,,,7.215054,16,162.4,,,30.522581,25.189032,21.63871,89.774194,,
82212,30/04/1966,0000,0,0.522222,4,,,,,6.7,16,252.2,,,30.473333,25.279333,21.686667,89.475,,
82212,31/05/1966,0000,0,0.526882,5,,,,,6.795699,19,302,,,30.2,25.147742,21.374194,89.467742,,
82212,30/06/1966,0000,0,0.764045,5,,,,,6.411111,16,237.8,,,30.023333,25.014,21.253333,89.866667,,
82212,31/08/1966,0000,0,0.478261,4,,,,,5.782609,5,33.4,,,31.196774,25.155484,20.870968,88.064516,,
82212,30/09/1966,0000,0,0.744444,7,,,,,6.577778,9,81.4,,,30.856667,24.882667,20.573333,87.483333,,
82212,31/10/1966,0000,0,0.956989,6,,,,,5.956989,9,121.2,,,32.367742,26.04,21.632258,86.491935,,
82212,30/11/1966,0000,0,0.747126,7,,,,,6.494253,6,80.1,,,31.741379,26.011724,22.017241,87.534483,,
82212,31/12/1966,0000,0,0.774194,7,,,,,6.83871,11,143.6,,,30.835484,25.611613,22.077419,88.362903,,
82212,31/01/1967,0000,0,0.548387,7,,,,,7.150538,22,277.4,,,30.170968,25.160645,22,89.620968,,
82212,28/02/1967,0000,0,0.880952,9,,,,,6.869048,11,123.4,,,30.596429,25.355714,21.621429,88.428571,,
82212,31/03/1967,0000,0,0.543478,5,,,,,7.032258,14,325.8,,,30.058065,24.864516,21.241935,90.016129,,
82212,30/04/1967,0000,0,0.622222,3,,,,,7.155556,19,417.8,,,29.743333,24.969333,21.32,90.908333,,
82212,31/05/1967,0000,0,0.741935,5,,,,,6.763441,17,212.8,,,30.583871,25.248387,21.454839,89.540323,,
82212,30/06/1967,0000,0,0.844444,9,,,,,6.9,15,137.8,,,29.833333,24.754667,21.01,90.4,,
82212,31/07/1967,0000,0,0.537634,3,,,,,6.064516,13,212,,,30.33871,25.000645,21.13871,89.169355,,
82212,31/08/1967,0000,0,0.870968,12,,,,,6.172043,11,61.8,,,31.335484,25.372258,21.570968,88.467742,,
82212,31/12/1968,0000,0,1,3,,,,,6.393258,12,125.4,,,,,,,,
82212,31/01/1969,0000,0,0.698925,2,,,,,6.870968,15,210,,,,,,,,
82212,28/02/1969,0000,0,0.666667,3,,,,,7.166667,13,146.6,,,,,,,,
82212,31/03/1969,0000,0,0.569892,3,,,,,6.903226,15,219.4,,,,,,,,
82212,30/04/1969,0000,0,0.577778,2,,,,,6.988889,19,216.9,,,,,,,,
82212,31/05/1969,0000,0,0.376344,2,,,,,6.580645,17,197,,,,,,,,
82212,31/07/1969,0000,0,0.986301,5,,,,,6.621622,11,134.4,,,,,,,,
82212,31/08/1969,0000,0,0.634409,4,,,,,4.354839,7,109.4,,,,,,,,
82212,30/09/1969,0000,0,0.566667,2,,,,,4.842697,11,134.7,,,,,,,,
82212,31/10/1969,0000,0,0.505376,4,,,,,5.554348,8,135.8,,,32.438095,26.641,23.13,85.845238,,
82212,30/11/1969,0000,0,1.066667,4,,,,220.4,6.833333,12,181.3,,999.517778,32.916667,26.666667,22.88,85.983333,,
82212,31/12/1969,0000,0,1.16129,5,49.5,,,158.4,7.215054,12,139.9,,997.595699,31.945161,26.300645,22.877419,86.604839,,
82212,31/01/1970,0000,0,0.88172,9,34.2,,,142,7.408602,18,269.8,,998.556989,31.3,26.036774,22.912903,87.943548,,
82212,28/02/1970,0000,0,1.011905,7,,,,135.8,7.392857,19,364.6,,999.807143,31.257143,26.185714,23.071429,88.080357,,
82212,31/03/1970,0000,0,0.924731,8,27,,,140.3,7.193548,22,278.1,,,30.974194,25.872258,22.993548,88.483871,,
82212,30/04/1970,0000,0,0.888889,3,20.2,,,126.7,7.344444,21,323.4,,,30.5,25.75,22.983333,89.633333,,
82212,31/05/1970,0000,0,0.946237,4,28,,,152,7.268817,18,238.9,,,30.519355,25.905806,23.074194,88.693548,,
82212,30/06/1970,0000,0,0.922222,6,34,,,138.2,7.292135,16,210.6,,,29.8,25.062,22.046667,89.158333,,
82212,31/07/1970,0000,0,0.870968,5,32.6,,,177.6,6.913978,13,153.8,,1007.05,29.848387,24.911613,21.629032,88.233871,,
82212,31/08/1970,0000,0,0.903226,6,54.8,,,190.6,6.741935,10,57.8,,,31.296774,25.603226,22.087097,84.475806,,
82212,30/09/1970,0000,0,1.011111,8,45.3,,,163,7.244444,13,134.8,,,31.186667,25.418667,21.793333,86.641667,,
82212,31/10/1970,0000,0,0.917204,7,53.4,,,,6.946237,9,99.7,,,32.045161,26.244667,22.613333,84.580645,,
82212,30/11/1970,0000,0,0.811111,5,,,,,7.011111,13,192.4,,,31.226667,25.961333,22.676667,87.641667,,
82212,31/12/1970,0000,0,0.752688,4,42,,,,7.107527,16,224.6,,,31.109677,25.762581,22.487097,89.274194,,
82212,31/01/1971,0000,,,3,,,,,,10,125.5,,,30.933333,25.567778,22.357895,89.911765,,
82212,28/02/1971,0000,0,0.857143,4,,,,79.1,7.52381,25,305.4,,,29.985714,24.975714,22.114286,92.008929,,
82212,31/03/1971,0000,0,0.985915,7,,,,,7.464789,13,170.8,,,30.517391,25.489565,22.5,89.23913,,
82212,30/04/1971,0000,0,1.333333,6,23.8,,,110.7,7.355556,11,182.5,,,29.706667,25.33,22.406667,87.916667,,
82212,31/05/1971,0000,0,0.876712,4,,,,104,7.479452,,117.9,,,30.070833,25.5425,22.716,88.791667,,
82212,30/06/1971,0000,0,0.622222,12,17.9,,,107.4,7.244444,21,363.6,,,28.923333,24.609333,21.81,90.391667,,
82212,31/07/1971,0000,0,0.741935,4,34.1,,,157.4,6.913978,15,167.5,,,29.948387,25.050323,21.819355,86.717742,,
82212,31/08/1971,0000,0,0.591398,6,39.3,,,182.1,6.784946,15,173.9,,1006.02381,30.164516,25.159355,21.619355,86.879032,,
82212,30/09/1971,0000,0,0.4,2,26.6,,,188.7,6.577778,,129.5,,,31.123333,25.778667,22.276667,86.983333,,
82212,31/10/1971,0000,0,0.846154,6,36.8,,,194.1,6.924731,16,185.4,,,30.925806,25.666452,22.232258,86.362903,,
82212,30/11/1971,0000,0,0.744444,7,23,,,135.5,7.122222,21,325.9,,,30.213333,25.346,22.176667,87.9,,
82212,31/05/1972,0000,,,,,,,,,,80.2,,,,,,,,
82212,30/09/1972,0000,0,0.921348,4,39.9,,,181.2,6.88764,,22.4,,,31.296667,25.694667,22.173333,85.225,,
82212,31/10/1972,0000,0,1.076087,12,53.4,,,209.7,6.989247,,64.8,,,32.287097,26.747742,23.041935,82.532258,,
82212,30/11/1972,0000,0,0.811111,9,37.6,,,192.6,7.077778,,119.8,,,32.06,26.666667,23.32,84.808333,,
82212,31/12/1972,0000,0,0.771739,12,40.3,,,140.7,7.290323,16,205.7,,,31.196774,26.137419,23.06129,87.854839,,
82212,31/01/1973,0000,0,0.903226,3,58.1,,,210.4,6.817204,,132.8,,,32,26.857419,23.374194,83.314516,,
82212,28/02/1973,0000,0,1.095238,4,,,,130.3,7.380952,,231.7,,,31.092857,26.443571,23.442857,86.767857,,
82212,31/03/1973,0000,0,0.967742,5,35.8,,,138.6,7.526882,22,393.7,,,30.712903,25.86,23.119355,89.41129,,
82212,30/04/1973,0000,0,0.522222,7,41.2,,,118.9,7.366667,20,274.9,,,30.87,25.92,22.883333,89.233333,,
82212,31/05/1973,0000,0,0.688172,6,36.6,,,123.9,7.365591,25,355.6,,,30.293548,25.566452,22.970968,89.322581,,
82212,30/06/1973,0000,0,0.566667,4,,,,164.5,6.8,19,241.6,,,30.833333,25.762,22.793333,88.625,,
82212,31/07/1973,0000,0,0.677419,4,41.5,,,145.6,7.139785,17,219.6,,,29.932258,25.133548,22.132258,88.314516,,
82212,31/08/1973,0000,0,0.784946,4,45.3,,,178.6,6.086022,,220.8,,,30.66129,25.371613,22.012903,87.096774,,
82212,30/09/1973,0000,0,0.909091,7,,,,152.7,5.909091,,140,,,31.436,25.7744,22.551852,85.95,,
82212,31/10/1973,0000,0,1.086022,5,53.1,,,191.3,4.311828,,147.2,,,31.929032,26.472258,22.964516,84.209677,,
82212,30/11/1973,0000,0,1.122222,8,36.4,,,151.5,4.055556,18,210.3,,,31.13,26.186,22.863333,86.241667,,
82212,31/12/1973,0000,0,1.27957,8,37.4,,,162.6,4.086022,,276.2,,,30.454839,25.41871,22.251613,86.959677,,
82212,31/01/1974,0000,0,1.139785,8,44,,,157.5,4.344086,16,262.1,,,30.245161,25.465806,22.309677,87.346774,,
82212,28/02/1974,0000,0,1.144578,8,29.7,,,110.3,4.785714,19,255.2,,,30.628571,25.337857,22.439286,87.508929,,
82212,31/03/1974,0000,0,1.172043,14,59.9,,,162.2,4.88172,,143.2,,,31.287097,26.035484,22.56129,84.91129,,
82212,30/04/1974,0000,0,1.211111,7,46.1,,,126.8,4.077778,24,421,,,30.356667,25.6,22.476667,87.825,,
82212,31/05/1974,0000,9,2.032258,4,34,,,144.3,4.215054,25,272.7,,,29.635484,25.037419,22.241935,90.330645,,
82212,30/06/1974,0000,9,1.377778,10,27.5,,,125.1,4.466667,26,414.9,,,29.38,24.861333,22.01,90.6,,
82212,31/07/1974,0000,0,0.989247,4,36.6,,,129.5,4.107527,21,215.9,,,28.822581,24.174194,21.474194,89.854839,,
82212,31/08/1974,0000,0,0.83871,6,46.2,,,175.3,4.72043,16,241.4,,,30.967742,25.309032,21.709677,87.75,,
82212,30/09/1974,0000,0,0.744444,6,40,,,147.5,4.366667,19,183.2,,,30.466667,24.843333,21.633333,89.975,,
82212,31/10/1974,0000,0,0.892473,6,50.7,,,166.6,4.139785,19,167.2,,,31.025806,25.483226,21.948387,89.733871,,
82212,30/11/1974,0000,0,1.168889,10,41.7,,,127.4,4.055556,20,337.7,,,30.816667,25.662667,22.246667,90.616667,,
82212,31/12/1974,0000,0,1.236559,6,50.5,,,135.8,4.903226,17,105,,,30.748387,25.396774,22.290323,90.669355,,
82212,31/01/1975,0000,0,1.150538,4,41,,,132,4.27957,24,299.4,,1003.22043,30.045161,24.936129,22.003226,89.959677,,
82212,28/02/1975,0000,0,1.5,7,39.5,,,115.5,4.797619,21,319.4,,1004.20119,30.142857,25.215714,22.128571,89.160714,,
82212,31/03/1975,0000,0,1.258065,9,43.1,,,145.7,4.88172,19,280.7,,,30.680645,25.192903,22.225806,89.435484,,
82212,30/04/1975,0000,0,1.288889,6,37.2,,,120.8,4.077778,22,389.5,,1004.12,30.256667,25.150667,22.203333,89.808333,,
82212,31/05/1975,0000,0,1.053763,4,32.2,,,112.7,4.408602,26,453.7,,,29.790323,25.041935,22.335484,90.532258,,
82212,30/06/1975,0000,0,0.911111,4,31.7,,,127.7,4.933333,26,280.8,,,29.566667,24.855333,21.97,90.55,,
82212,31/07/1975,0000,0,0.806452,5,38.2,,,141.2,5.451613,23,235.5,,,28.877419,23.798065,20.658065,89.290323,,
82212,31/08/1975,0000,0,1.043011,8,46.6,,,187.8,4.666667,15,181.2,,,30.651613,24.994839,21.477419,87.233871,,
82212,30/09/1975,0000,0,0.911111,4,40.7,,,164.8,5.288889,22,183.3,,,30.703333,25.118,21.526667,89.633333,,
82212,31/10/1975,0000,0,0.677419,4,51.1,,,180.7,5.204301,16,218.4,,,31.464516,25.631613,22.051613,90.16129,,
82212,30/11/1975,0000,0,0.911111,7,41.2,,,157.7,4.777778,20,209.1,,1002.51,30.956667,25.603333,22.26,91.225,,
82212,31/12/1975,0000,0,0.752688,14,32.9,,,151.9,5.526882,19,316.5,,1002.97957,30.558065,25.209032,21.787097,91.612903,,
82212,31/01/1976,0000,0,0.806452,5,27.9,,,109.8,4.731183,25,466.7,,,29.464516,24.663226,21.909677,91.330645,,
82212,29/02/1976,0000,0,0.931034,6,46.8,,,170.7,5.793103,15,253.8,,,30.937931,25.367586,21.803448,88.318966,,
82212,31/03/1976,0000,0,1.043011,6,37.4,,,102,4.73913,25,476.1,,1002.08172,29.593548,24.869677,21.606452,90.758065,,
82212,30/04/1976,0000,0,1.022222,6,37.1,,,139.9,5.188889,22,312.3,,,30.066667,25.256,22.02,92.75,,
82212,31/05/1976,0000,0,0.817204,5,32.2,,,118.4,4.677419,24,331.8,,,29.545161,25.029677,21.854839,93.717742,,
82212,30/06/1976,0000,0,0.955556,4,32,,,134,4.911111,18,216.4,,,29.256667,24.702,21.6,93.25,,
82212,31/07/1976,0000,0,0.763441,3,50.3,,,189.5,4.258065,,89.9,,1003.75914,30.387097,24.372258,20.174194,88.935484,,
82212,31/08/1976,0000,0,1,12,55.4,,,223,5.086022,17,132.2,,,31.596774,25.530323,21.067742,87.814516,,
82212,30/09/1976,0000,0,0.9,5,51.8,,,182.9,4.4,15,127.6,,,31.766667,25.293333,20.986667,88.808333,,
82212,31/10/1976,0000,0,0.763441,3,42.5,,,166.4,4.064516,19,225.6,,1001.65914,31.351613,25.69871,21.583871,88.435484,,
82212,30/11/1976,0000,,,,,,,,,19,281,,,,,,,,
82212,31/12/1976,0000,0,1.043478,3,32.4,,,162.5,4.73913,17,240.4,,,31.674194,26.09871,22.548387,87.459677,,
82212,31/01/1977,0000,0,1.430108,6,46.3,,,218.4,4.591398,14,130.9,,,32.132258,25.966452,21.493548,86.16129,,
82212,28/02/1977,0000,0,0.97619,6,36.9,,,94.1,4.452381,18,130.9,,1002.6,31.4,25.748571,21.828571,90.205357,,
82212,31/03/1977,0000,0,1.086022,7,36.6,,,136.7,4.83871,22,327.6,,,30.806452,25.646452,22.4,89.782258,,
82212,30/04/1977,0000,0,0.755556,10,25.8,,,130,4.711111,22,409.4,,1002.29,30.39,25.467333,21.926667,90.058333,,
82212,31/05/1977,0000,0,0.935484,5,27.6,,,132.8,4.946237,22,405,,,29.796774,25.032903,21.716129,90.459677,,
82212,30/06/1977,0000,0,0.755556,9,25.5,,,133.6,4.4,19,293.8,,,29.676667,24.798,21.433333,91.533333,,
82212,31/07/1977,0000,0,0.83871,5,42.4,,,206,5.032258,19,252.2,,,31.148387,25.301935,21.425806,90.137097,,
82212,31/08/1977,0000,0,0.978495,4,43.9,,,183.5,4.741935,19,173.8,,,31.767742,25.695484,21.516129,88.669355,,
82212,30/09/1977,0000,0,0.9,5,47.2,,,149.5,4.411111,16,129.4,,1003.04,31.32,25.706667,21.82,87.791667,,
82212,31/10/1977,0000,0,0.935484,3,38.5,,,145.8,3.817204,16,218.6,,1004.21828,31.487097,26.040645,21.883871,86.758065,,
82212,30/11/1977,0000,0,0.955056,3,45.2,,,140.5,5.133333,18,248.3,,,31.726667,25.938667,22.133333,88.708333,,
82212,31/12/1977,0000,0,0.946237,3,39.6,,,133.5,4.526882,22,302.2,,,30.754839,25.745806,22.290323,88.354839,,
82212,31/01/1978,0000,0,0.903226,5,52.7,,,132.7,4.978495,21,134,,,31.293548,25.74129,22.380645,88.354839,,
82212,28/02/1978,0000,0,0.97619,5,42.5,,,128.2,4.285714,16,160.7,,,31.3,26.047143,22.485714,87.535714,,
82212,31/03/1978,0000,0,0.946237,5,42.2,,,121,4.247312,22,329.7,,,30.416129,25.644516,22.303226,88.733871,,
82212,30/04/1978,0000,0,0.888889,8,33.6,,,122.4,3.877778,20,239.8,,,30.78,25.793333,22.573333,88.741667,,
82212,31/05/1978,0000,0,0.709677,3,35.4,,,111.5,5.16129,25,332.1,,,30.232258,25.579355,22.419355,88.403226,,
82212,30/06/1978,0000,0,0.755556,4,35.8,,,135.8,4.577778,17,219.7,,,29.953333,24.952,21.393333,88.016667,,
82212,31/07/1978,0000,0,0.784946,8,39.7,,,167.5,5.010753,22,176.9,,,30.516129,25.037419,21.43871,87.959677,,
82212,31/08/1978,0000,0,0.731183,6,51.7,,,146.1,4.817204,10,76.9,,,30.332258,24.627097,20.812903,86.725806,,
82212,30/09/1978,0000,0,0.777778,5,43.7,,,133.8,4.833333,17,251.9,,,31.29,25.534,21.686667,86.85,,
82212,31/10/1978,0000,0,0.817204,4,48.6,,,155.9,5.16129,16,164.9,,,31.922581,25.863226,22.045161,85.451613,,
82212,30/11/1978,0000,0,0.833333,6,52.1,,,153.3,4.944444,16,201.3,,,31.643333,26.04,22.19,87.666667,,
82212,31/12/1978,0000,0,0.860215,5,32.3,,,86.7,4.193548,22,205.7,,,30.306452,25.640645,22.541935,89.75,,
82212,31/01/1979,0000,,0.698925,4,42.8,,,102.5,4.247312,18,153.3,,,30.96,25.994839,22.853333,,,
82212,28/02/1979,0000,0,0.845238,4,67.5,,,150.6,6.47619,,207.5,,,32.153571,26.521429,22.707143,85.410714,,
82212,31/03/1979,0000,,0.569892,2,43.8,,,95.9,3.548387,22,341.2,,,,25.446452,,,,
82212,30/04/1979,0000,,0.711111,3,31,,,81,3.588889,27,326.3,,1003.98,,25.374,,,,
82212,31/05/1979,0000,,0.612903,8,32,,,98.5,4.215054,21,223.2,,,,25.236129,,,,
82212,30/06/1979,0000,,0.833333,4,34.5,,,97.5,4.466667,18,177.5,,,,25.008667,,,,
82212,31/07/1979,0000,,0.924731,3,53.9,,,190.6,4.301075,15,98.4,,,,25.083226,,,,
82212,31/08/1979,0000,,0.795699,3,49.1,,,133.3,4.526882,18,228.3,,,,25.510323,,,,
82212,30/09/1979,0000,,0.888889,3,46.7,,,187.8,4.055556,,43.3,,,,26.119333,,,,
82212,31/10/1979,0000,0,0.935484,3,40.7,,,162.2,6.752688,18,261.4,,,32.245161,26.096774,22.354839,86.341667,,
82212,30/11/1979,0000,,0.744444,8,63.2,,,173.4,4.311111,,252.6,,,,,,,,
82212,31/12/1979,0000,,1.032258,3,44.1,,,149.6,3.709677,23,195.3,,,,,,,,
82212,31/01/1980,0000,,0.806452,3,44,,,145.7,3.892473,16,235.9,,,,,,,,
82212,29/02/1980,0000,,0.793103,3,56.6,,,183.9,3.655172,9,79.3,,,,,,,,
82212,31/03/1980,0000,,0.817204,8,40.9,,,114.3,3.591398,19,223.1,,,,,,,,
82212,30/04/1980,0000,,0.866667,3,37,,,148.5,3.633333,20,171,,,,,,,,
82212,31/05/1980,0000,,0.967742,3,31.8,,,130.2,3.408602,21,217.4,,1003.83871,,,,,,
82212,30/06/1980,0000,,0.944444,2,30.5,,,119.5,4.388889,23,163.8,,,,,,,,
82212,31/07/1980,0000,,0.645161,2,39.6,,,144.3,3.247312,17,95.2,,,,,,,,
82212,31/08/1980,0000,,0.827957,2,40.4,,,145.7,3.72043,15,181.4,,,,,,,,
82212,30/09/1980,0000,,0.822222,3,47.5,,,182.2,3.4,,68.9,,,,,,,,
82212,31/10/1980,0000,,0.827957,3,39.6,,,174.1,3.591398,16,233.6,,,,,,,,
82212,30/11/1980,0000,,0.848889,2,34.6,,,152.7,3.5,22,213.1,,,,,,,,
82212,31/12/1980,0000,,0.913043,3,40.7,,,185.5,3.709677,,106.1,,,,,,,,
82212,31/01/1981,0000,,0.989247,3,46.4,,,161.6,3.580645,15,210,,,,,,,,
82212,28/02/1981,0000,,1.107143,5,30.8,,,106,4.107143,21,212.4,,,,,,,,
82212,31/03/1981,0000,,0.956989,3,38.4,,,38.4,3.451613,16,297.4,,,,,,,,
82212,30/04/1981,0000,,1.022222,2,31.7,,,65.8,2.966667,23,295.2,,,,,,,,
82212,31/05/1981,0000,,1.010753,5,34.7,,,149.8,3.752688,21,208.7,,,,,,,,
82212,30/06/1981,0000,,0.988889,3,30.2,,,146.2,3.533333,20,265.9,,,,,,,,
82212,31/07/1981,0000,,1.193548,3,41.7,,,180.5,4.591398,,96.4,,,,,,,,
82212,31/08/1981,0000,,1.046237,3,39.1,,,153,3.752688,17,138.9,,,,,,,,
82212,30/09/1981,0000,,1.166667,3,39.5,,,130.9,3.955556,15,140,,,,,,,,
82212,31/10/1981,0000,,1.075269,4,38.4,,,161.7,4.086022,,90.3,,,,,,,,
82212,30/11/1981,0000,,0.95,3,45.4,,,155.8,3.633333,,130.9,,1002.22,,,,,,
82212,31/12/1981,0000,,1.048387,8,32.4,,,133,3.806452,21,181.9,,,,,,,,
82212,31/01/1982,0000,0,1.204301,3,35.1,,,132.6,4.075269,23,229.4,,,,,,86.166667,,
82212,28/02/1982,0000,0,1.059524,3,29.4,,,141.6,4.678571,17,182.1,,1001.97619,,,,,,
82212,31/03/1982,0000,,1.129032,3,36,,,113.7,3.419355,18,296.5,,,,,,,,
82212,30/04/1982,0000,0,0.955556,3,17,,,80.8,4.1,22,241.9,,,,,,88.136364,,
82212,31/05/1982,0000,0,0.913978,3,23.1,,,110.6,3.55914,23,186.3,,,,,,90.7125,,
82212,30/06/1982,0000,,1.133333,3,27.3,,,155.2,4.266667,25,179.6,,,,,,,,
82212,31/07/1982,0000,,1.27957,4,36.5,,,162.9,4.204301,19,134.2,,,,,,,,
82212,31/08/1982,0000,0,0.956989,3,35.4,,,190.8,3.430108,21,141.6,,,,,,89.382353,,
82212,30/09/1982,0000,0,1.166667,3,26,,,148.4,3.633333,,138.2,,,,,,88.607143,,
82212,31/10/1982,0000,0,1.139785,3,40.6,,,158.5,3.258065,,177.1,,,,,,87.28125,,
82212,30/11/1982,0000,0,1.033333,3,36.1,,,143.2,3.722222,,111.2,,1001.39,,,,88.222222,,
82212,31/12/1982,0000,0,0.864516,5,25.5,,,93.4,3.473118,23,331.1,,,,,,88.836538,,
82212,31/01/1983,0000,,1.612903,8,49.2,,,49.2,3.645161,,51.2,,,,,,,,
82212,28/02/1983,0000,,1.416667,3,35.6,,,114.1,3.988095,16,209,,,,,,,,
82212,31/03/1983,0000,,0.950538,4,33.6,,,115.7,3.451613,18,164.6,,,,,,,,
82212,30/04/1983,0000,,0.933333,3,32.5,,,130.5,3.355556,23,217.3,,,,,,,,
82212,31/05/1983,0000,,1.010753,3,33,,,170.3,3.258065,25,210.2,,,,,,,,
82212,30/06/1983,0000,,1.366667,3,28.7,,,155.7,3.777778,,111.4,,,,,,,,
82212,31/07/1983,0000,,1.106452,3,36.3,,,209.2,3.333333,,150,,,,,,,,
82212,31/08/1983,0000,,1.064516,3,26.6,,,153.9,2.892473,20,284.3,,,,,,,,
82212,30/09/1983,0000,,1,3,30.9,,,187.4,3.444444,,50.8,,,,,,,,
82212,31/10/1983,0000,,1.032258,3,34.7,,,124.4,3,20,291.3,,,,,,,,
