Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83716,31/01/1961,0000,27,2.621739,9,75,,,198.4,6.304348,18,311,,961.817391,29.496774,24.499355,19.212903,85.766129,,
83716,28/02/1961,0000,9,2.511905,9,60,,,189.1,6.083333,13,196.1,,963.20119,30.007143,24.475,20.185714,85.651786,,
83716,31/03/1961,0000,27,2.826087,9,78.2,,,184.4,5.451613,8,77,,964.064516,29.696774,24.136774,19.016129,81.266129,,
83716,30/04/1961,0000,27,2.5,12,64.9,,,235.6,4.166667,12,133,,964.114444,28.94,22.650667,17.286667,81.525,,
83716,31/05/1961,0000,27,2.741935,9,66.5,,,222.7,3.27957,3,26.5,,966.36129,26.496774,19.343226,13.951613,80.975806,,
83716,30/06/1961,0000,9,2.777778,9,97,,,211.4,3.177778,3,8.5,,968.375556,25.536667,18.482667,13.48,76.4,,
83716,31/07/1961,0000,27,2.58172,9,142.3,,,256.3,2.271739,0,0,,967.848387,28.506452,19.982581,13.651613,64.443548,,
83716,31/08/1961,0000,27,2.487097,9,191.2,,,251.5,1.849462,1,10,,966.791398,31.677419,22.850968,15.806452,57.975806,,
83716,30/09/1961,0000,27,2.133333,10,174.1,,,157.9,1.466667,2,9,,963.148889,33.253333,24.942,17.703333,62.310345,,
83716,31/12/1961,0000,27,3.103261,15,123,,,247.7,4.097826,9,150,,962.93913,31.283871,25.501935,19.277419,74.096774,,
83716,31/01/1962,0000,27,2.763441,9,83,,,208.4,4.204301,6,100,,962.434409,31.725806,25.950968,19.916129,78.169355,,
83716,28/02/1962,0000,18,2.333333,9,92,,,199.4,4.119048,7,142,,962.246429,33.346429,27.022857,20.625,78.178571,,
83716,31/03/1962,0000,36,2.483871,9,92,,,190.3,5.032258,14,290,,962.349462,31.887097,26.068387,20.074194,83.354839,,
83716,30/04/1962,0000,27,2.732222,13,112.5,,,232.7,2.688889,5,75,,964.53,31.286667,23.394667,16.34,77.441667,,
83716,31/05/1962,0000,27,2.932258,12,100.7,,,242.8,2.83871,5,57,,966,27.058065,19.132903,12.870968,78.532258,,
83716,31/07/1962,0000,32,2.918889,7,116,,,220.6,3.521739,1,5,,969.746739,24.73871,16.134194,8.935484,73.975806,,
83716,31/08/1962,0000,18,3.119565,9,120.1,,,219.2,2.462366,5,92,,967.303226,29.309677,20.513548,12.935484,61.209677,,
83716,30/09/1962,0000,27,2.657778,9,106.4,,,184.8,3.366667,6,190,,966.162222,29.746667,22.104667,15.906667,74.616667,,
83716,31/10/1962,0000,27,2.936264,14,88,,,159.6,4.827957,13,277,,964.736559,28.470968,21.483226,15.735484,78.798387,,
83716,30/11/1962,0000,27,2.359551,12,120.5,,,254.6,3.6,7,150,,963.304444,31.89,24.73,18,71.508333,,
83716,31/12/1962,0000,27,2.304301,9,139,,,,4.827957,12,270,,961.53871,31.303226,25.492903,19.56129,80.274194,,
83716,31/01/1963,0000,36,2.376344,13,78,,,,6.827957,20,512,,961.788172,31.545161,25.843226,20.787097,88.008065,,
83716,28/02/1963,0000,36,2.892857,13,84.5,,,193.7,5.547619,12,295,,962.904762,31.532143,25.207857,19.864286,85.375,,
83716,31/03/1963,0000,27,2.086022,3,74.5,,,211.7,4.129032,9,228,,964.095699,32.874194,25.923226,20.548387,83.258065,,
83716,31/05/1963,0000,36,2.554348,12,126.6,,,246.7,2.086957,2,40,,967.692391,29.016129,19.880645,13.33871,71.516129,,
83716,30/06/1963,0000,27,3,9,121,,,222.1,2.477778,1,20,,969.126667,26.673333,18.162667,11.683333,65.715517,,
83716,31/07/1963,0000,27,2.719355,9,192.5,,,245.7,1.268817,0,0,,968.133333,29.596774,20.407097,13.064516,54.525,,
83716,31/08/1963,0000,27,3.022472,14,204,,,134.1,5.032258,0,0,,966.239785,31.329032,22.089032,14.354839,52.982759,,
83716,30/09/1963,0000,36,2.267442,5,223.1,,,114.6,2.244444,5,95,,964.162222,35.163333,25.602,17.666667,57.979167,,
83716,31/10/1963,0000,18,2.550562,9,155.6,,,168.5,6.129032,9,177,,964.248387,31.977419,24.608387,18.483871,70.580645,,
83716,30/11/1963,0000,0,2.170455,7,136,,,191.3,4.788889,10,216,,962.083333,32.11,25.164,18.66,74.366667,,
83716,31/12/1963,0000,27,2.752688,9,160.5,,,223.8,3.795699,7,155,,962.66129,33.241935,25.349677,18.909677,69.733871,,
83716,31/01/1964,0000,32,2.693182,9,156.5,,,,4.516129,4,80,,962.082796,33.829032,26.353548,19.703226,65.927419,,
83716,31/03/1964,0000,36,3.352941,14,150.5,,,200.1,4.956522,9,98,,965.447826,32.364516,25.143226,19.196774,69.653226,,
83716,30/04/1964,0000,32,2.659091,9,133.5,,,219.4,4.111111,4,20,,965.892222,32.673333,24.762667,18.566667,70.933333,,
83716,31/05/1964,0000,9,2.559524,10,109.4,,,229.8,3.709677,2,20,,968.512903,28.135484,20.042581,13.516129,74.137097,,
83716,30/06/1964,0000,27,3.522222,8,103.6,,,184.5,3.222222,6,72,,967.955556,26.583333,18.894667,12.166667,74.366667,,
83716,31/07/1964,0000,27,3.548387,8,106,,,224.3,3.537634,4,42,,969.458065,24.951613,16.624516,9.741935,74.225806,,
83716,31/08/1964,0000,32,3.426966,12,203,,,223.4,2.860215,3,41.5,,967.567742,29.916129,21.112258,14.025806,68.629032,,
83716,30/09/1964,0000,27,2.602273,9,207,,,177.3,4.066667,5,55,,965.947778,31.266667,23.022667,15.38,64.625,,
83716,31/10/1964,0000,18,2.763441,9,107.7,,,201.9,5.11828,6,122.6,,964.364516,30.251613,22.576129,16.025806,73.33871,,
83716,30/11/1964,0000,18,2.755556,9,153.5,,,216.6,4.922222,7,128,,962.953333,31.22,23.543333,16.786667,69.341667,,
83716,31/12/1964,0000,27,2.413043,8,82.5,,,139.4,6.924731,19,385,,960.952688,29.383871,23.623226,18.212903,78.282258,,
83716,31/01/1965,0000,27,2.387097,8,112,,,191.1,6.709677,16,254.6,,962.093548,29.522581,23.710968,18.367742,77.322581,,
83716,28/02/1965,0000,27,2.535714,8,72,,,172.5,6.27381,18,253,,961.494048,30.439286,24.242857,19.128571,77.678571,,
83716,31/03/1965,0000,27,2.311828,8,95,,,225.4,4.924731,11,101,,964.282796,30.635484,22.655484,16.683871,78.717742,,
83716,31/05/1965,0000,14,2.369565,8,79.5,,,209.1,4,5,94,,966.146739,27.477419,19.783871,12.929032,79.290323,,
83716,30/06/1965,0000,27,2.166667,8,59.6,,,201.9,4.622222,5,62,,967.787778,27.93,19.966,13.166667,77.433333,,
83716,31/07/1965,0000,27,2.612903,8,123,,,211.4,4.569892,8,94,,967.868817,26.812903,18.614194,11.845161,74.048387,,
83716,31/08/1965,0000,27,2.843011,8,182.5,,,240.1,2.752688,4,32.6,,965.952688,29.43871,20.481935,12.741935,66.112903,,
83716,31/01/1966,0000,18,2.337079,8,106.5,,,197.2,5.505618,10,182,,961.81236,33.626667,25.997333,19.88,71.2,,
83716,28/02/1966,0000,27,1.988095,5,102,,,213.8,6.178571,9,122,,961.741667,34.789286,26.983571,20.821429,69.758929,,
83716,31/03/1966,0000,27,2.150538,10,117,,,198.1,4.451613,5,129,,963.543011,33.325806,25.409032,18.735484,67.919355,,
83716,30/04/1966,0000,27,2.4,9,122.6,,,219.5,3.655556,3,72,,964.954444,30.883333,23.208667,16.64,69.633333,,
83716,31/05/1966,0000,27,2.615385,8,91.2,,,157.1,4.752688,5,137,,965.821505,29.309677,20.68129,14.554839,77.41129,,
83716,30/06/1966,0000,36,2.659091,8,120,,,235.5,2.533333,2,27,,964.655556,27.773333,19.818667,13.173333,72.1,,
83716,31/07/1966,0000,9,2.946237,12,155.5,,,217.1,3.666667,5,47,,965.290323,28,19.754286,13.006452,67.846774,,
83716,31/08/1966,0000,18,2.684783,8,146,,,211.2,3.967742,5,37.5,,964.463441,,,11.367742,57.943548,,
83716,30/09/1966,0000,9,2.921348,12,150,,,149.9,3.033333,5,71.5,,964.05,,,13.823333,58.816667,,
83716,31/10/1966,0000,9,2.548387,9,186.5,,,177.3,4.956989,10,264,,963.182796,,,16.951613,70.032258,,
83716,30/11/1966,0000,14,2.651685,12,154.8,,,266.8,4.455556,9,101,,955.4,29.95,23.908,17.38,64.325,,
83716,31/12/1966,0000,0,2.591398,9,188.5,,,239.1,4.784946,9,120.1,,952.335484,30.712903,25.647097,19.529032,65.298387,,
83716,31/01/1967,0000,9,2.55914,9,125,,,189.5,6.333333,21,355.4,,954.162366,29.451613,24.284516,19.154839,74.653226,,
83716,28/02/1967,0000,9,2.345238,5,93,,,166.6,6.02381,13,291,,954.880952,29.985714,24.32,19.478571,75.107143,,
83716,31/03/1967,0000,36,2.569892,9,89.6,,,196.6,5.72043,12,150.7,,957.274194,29.532258,23.709677,18.76129,77.653226,,
83716,30/04/1967,0000,18,2.822222,9,116.3,,,248.5,3.066667,0,0,,959.484444,30.64,22.719333,16.813333,66.658333,,
83716,31/05/1967,0000,9,2.978495,9,172.9,,,223.5,2.903226,,0,,960.688172,29.5,22.031613,14.916129,53.83871,,
83716,30/06/1967,0000,27,3.144444,11,129.9,,,170.9,4.8,8,74,,961.427778,24.926667,18.244667,12.486667,71.8,,
83716,31/07/1967,0000,18,3.44086,13,173,,,201.4,3.88172,6,20,,962.093548,26.312903,19.305806,13.3,67.193548,,
83716,31/08/1967,0000,14,3.182796,9,,,,219.6,2.634409,2,4,,960.793548,30.712903,22.627097,14.867742,51.685484,,
83716,30/09/1967,0000,,,,,,,,,,7,,,,,,,,
83716,30/11/1967,0000,,,,,,,,,,36,,,,,,,,
83716,31/12/1967,0000,9,3.129032,9,72,,,192,5.107527,11,86.4,,956.994624,29.058065,23.26129,17.877419,69.774194,,
83716,31/01/1968,0000,36,2.612903,9,68.7,,,159.5,6.322581,18,465.9,,957.473118,29.403226,23.596774,18.396774,77.241935,,
83716,29/02/1968,0000,18,3.482759,11,97.1,,,244.9,4.816092,5,55.2,,956.857471,30.582759,23.987586,18.031034,66.948276,,
83716,31/03/1968,0000,9,3.139785,9,84.2,,,217.4,4.623656,10,106.3,,958.910753,30.948387,23.971613,18.141935,69.137097,,
83716,30/04/1968,0000,18,3.055556,9,89,,,231.7,3.766667,2,27.9,,959.785556,26.923333,19.65,14.163333,66.883333,,
83716,31/05/1968,0000,18,2.580645,9,96.6,,,,2.612903,3,31.4,,962.205376,24.903226,17.550968,11.696774,65.435484,,
83716,30/06/1968,0000,18,2.566667,9,,,,,3.466667,4,20.6,,963.404444,25.26,18.566,12.97,65.991667,,
83716,31/07/1968,0000,0,2.433333,9,111.6,,,237.2,2.860215,2,11.3,,963.352688,26.145161,18.547097,12.025806,57.967742,,
83716,31/08/1968,0000,0,2.784946,9,109.9,,,207.6,3.83871,2,54.7,,961.826882,26.306452,18.9,12.651613,61.66129,,
83716,30/09/1968,0000,0,3.422222,9,102.9,,,207.5,4.344444,3,27.7,,960.361111,28.913333,21.114667,13.806667,56.058333,,
83716,31/10/1968,0000,0,3.763441,9,104.9,,,205.9,5.107527,8,104.4,,957.731183,30.358065,23.346452,16.903226,62.629032,,
83716,30/11/1968,0000,18,3.477778,11,122.9,,,230.1,5.088889,7,64.7,,956.462222,32.123333,25.439333,19.186667,62.95,,
83716,31/12/1968,0000,18,3.064516,9,84.9,,,138.8,6.107527,14,324.8,,956.222581,30.832258,24.857419,20.009677,71.774194,,
83716,31/01/1969,0000,0,2.4,5,85.3,,,,5.935484,13,167.6,,954.623656,31.341935,25.326452,20.516129,71.870968,,
83716,28/02/1969,0000,0,2.22619,11,60.6,,,,5.119048,13,139.5,,955.602381,31.678571,25.830714,20.960714,72.589286,,
83716,31/03/1969,0000,27,2.268817,11,99.1,,,241.4,4.032258,7,128.7,,957.430108,32.335484,25.650323,19.851613,67.41129,,
83716,30/04/1969,0000,18,2.747778,7,76.4,,,217.3,3.622222,10,70.7,,958.08,28.803333,22.122667,16.646667,72.4,,
83716,31/05/1969,0000,9,2.634409,9,83.4,,,210.1,4.677419,9,70.3,,960.930108,27.380645,20.384516,14.987097,67.443548,,
83716,30/06/1969,0000,14,3.133333,9,86.5,,,172.7,4.333333,3,83.9,,962.006667,25.456667,18.788,13.656667,67.683333,,
83716,31/07/1969,0000,18,3.032258,9,106.7,,,227.7,4,4,18.8,,963.57957,26.722581,19.265161,13.116129,61.637097,,
83716,31/08/1969,0000,0,3.72043,9,136,,,239.9,3.548387,2,5.5,,960.094624,28.729032,20.444516,13.380645,57.427419,,
83716,30/09/1969,0000,18,3.266667,14,149.7,,,171.6,3.855556,3,53.5,,957.668889,30.883333,22.905333,14.176667,54.591667,,
83716,31/10/1969,0000,0,4.032967,12,95.7,,,191,6.236559,11,127.9,,957.827957,27.33871,20.565806,12.845161,68.33871,,
83716,30/11/1969,0000,0,2.722222,9,87.5,,,205.3,6.888889,13,151.6,,955.872222,29.25,23.051333,16.453333,73.55,,
83716,31/12/1969,0000,0,3.430108,12,114.6,,,260.8,5.193548,9,105.2,,956.926882,30.141935,23.710968,17.506452,65.443548,,
83716,31/01/1970,0000,14,2.645161,9,86.6,,,242.5,6.204301,10,161.7,,956.222581,31.096774,24.290968,18.787097,69.370968,,
83716,28/02/1970,0000,5,2.571429,5,62.4,,,133.2,7.166667,,139.8,,957.289286,30.75,24.123571,19.535714,77.375,,
83716,31/03/1970,0000,14,2.48913,14,70.7,,,,5.923913,16,239.7,,959.795699,30.664516,24.320645,19.264516,77.141667,,
83716,30/04/1970,0000,0,2.617978,14,154.2,,,252.3,4.067416,8,40.8,,964.434444,30.68,23.680667,18.106667,77.725,,
83716,31/05/1970,0000,0,3.478261,14,148.8,,,224.6,3.989247,5,76.4,,965.06129,28.2,21.796774,16.577419,78.177419,,
83716,30/06/1970,0000,9,4.738636,14,140.8,,,219.7,4.318182,6,60.9,,965.931818,26.906667,20.610345,15.533333,80.267241,,
83716,31/07/1970,0000,14,4.552632,14,117.9,,,228.6,3.8125,4,28.8,,966.417284,25.7,18.910769,13.678571,74.59,,
83716,31/08/1970,0000,14,5.505747,14,198.5,,,255.3,2.858696,6,144.1,,966.188172,26.970968,20.022581,14.332258,70.58871,,
83716,30/09/1970,0000,18,4.329268,10,126.2,,,204.1,4.966667,9,75,,963.927778,27.223333,20.476,14.536667,80.166667,,
83716,31/10/1970,0000,14,3.730337,14,142.4,,,226.4,5.290323,7,201.7,,961.241935,29.129032,22.811613,16.33871,79.806452,,
83716,30/11/1970,0000,9,4.462353,12,224.5,,,256.3,4.433333,7,22.4,,960.11,29.52,22.681333,16.036667,72.65,,
83716,31/12/1970,0000,14,4.217391,14,194.8,,,222.2,6.16129,16,132.1,,959.556989,31.470968,24.879355,19.070968,79.669355,,
83716,31/01/1971,0000,14,3.898876,14,173.9,,,246.4,6.27957,11,154.4,,960.724731,32.064516,25.774839,19.806452,80.532258,,
83716,28/02/1971,0000,0,3.333333,10,99.4,,,,6.657895,,126.1,,961.330263,31.026923,24.844,19.464,84.81,,
83716,31/03/1971,0000,14,2.634409,12.5,115.2,,,205.4,5.978495,16,92.2,,961.213978,31.367742,24.969677,19.470968,83.419355,,
83716,30/04/1971,0000,14,2.672222,8,158.7,,,265.3,3.611111,6,42.6,,962.511111,29.423333,22.118,15.61,80.233333,,
83716,31/05/1971,0000,9,2.682796,9,128.9,,,214.1,4.354839,,89.4,,965.370968,25.977419,19.597419,13.948387,84.959677,,
83716,30/06/1971,0000,9,2.393258,10,99.9,,,172.5,5.844444,,111.8,,965.524444,24.043333,18.140667,12.89,82.433333,,
83716,31/07/1971,0000,0,2.755435,10,187.3,,,238.3,3.293478,,88.2,,965.954348,26.054839,19.129333,14.212903,68.483333,,
83716,31/08/1971,0000,18,3.903226,12.9,303.2,,,277.1,3.139785,,0.3,,965.772043,28.483871,21.187742,16.119355,58.580645,,
83716,30/09/1971,0000,9,3.45,11,162.6,,,211.1,3.811111,,121.5,,963.961111,28.643333,22.113333,17.11,63.491667,,
83716,31/10/1971,0000,23,2.978495,10.5,217.9,,,221.5,5.526882,,56.7,,963.233333,28.548387,22.566452,17.545161,67.475806,,
83716,30/11/1971,0000,0,3.494444,11.5,214.8,,,246.4,4.9,,54,,960.650633,30.063333,23.713333,18.66,60.866667,,
83716,31/12/1971,0000,0,2.387097,9.5,117,,,146.7,7.72043,16,300.2,,,29.045161,23.901935,20.054839,79.387097,,
83716,31/01/1972,0000,18,1.930108,10,103.2,,,158,7.344086,18,295.7,,961.052688,29.393548,23.810323,20.083871,80.548387,,
83716,29/02/1972,0000,0,2.045977,7.5,92.4,,,143.2,8.103448,25,312.2,,961.143678,29.086207,23.868276,20.351724,83.439655,,
83716,31/03/1972,0000,9,1.677419,8,163.4,,,258.3,5.408602,,43.9,,961.739785,31.151613,25.283226,20.719355,73.669355,,
83716,30/04/1972,0000,0,2.816667,9,200.4,,,250.1,4.377778,,22.5,,964.496667,27.86,21.380667,16.34,65.508333,,
83716,31/05/1972,0000,14,2.241935,7.5,204.3,,,239.2,3.903226,,110.3,,964.269892,27.606452,21.370323,16.970968,68.096774,,
83716,30/06/1972,0000,9,2.072222,7,182.1,,,,2.744444,,7.6,,,28.43,21.397333,16.416667,65.016667,,
83716,31/07/1972,0000,9,2.612903,9.5,145.2,,,207.4,4.741935,,137.7,,966.215054,24.241935,18.507097,13.980645,73.25,,
83716,31/08/1972,0000,9,2.516129,8.5,142.9,,,161.7,5.935484,15,98.4,,965.060215,24.419355,19.106452,15.229032,72.983871,,
83716,30/09/1972,0000,27,4.2,12,159.2,,,,5.477778,,73.1,,964.794444,27.49,21.614,16.933333,69.25,,
83716,31/10/1972,0000,14,3.537634,14,155.4,,,,5.860215,,311.3,,962.705376,28.248387,22.970323,18.396774,71.370968,,
83716,30/11/1972,0000,0,2.727778,10,150.8,,,,6.677778,,193.4,,960.686667,29.26,24.008,19.626667,75.808333,,
83716,31/12/1972,0000,18,2.817204,10,186.2,,,219.1,6.967742,,206,,960.941935,30.596774,24.96129,19.683871,71.443548,,
83716,31/01/1973,0000,0,2.370968,9,142,,,195.3,7.064516,17,210.4,,962.530108,31.53871,25.790323,21.445161,77.362903,,
83716,28/02/1973,0000,27,2.72619,10,140.4,,,230.1,6.285714,,135.5,,961.729762,32.389286,26.555714,21.578571,76.651786,,
83716,31/03/1973,0000,0,3.236559,13,166.8,,,235.6,5.774194,,106.9,,961.969892,30.867742,24.812258,19.590323,73.564516,,
83716,30/04/1973,0000,14,2.46,9,163.6,,,227.1,3.633333,,26.7,,963.506667,32.043333,25.662,20.346667,72.058333,,
83716,31/05/1973,0000,0,2.672043,10,159.6,,,220.1,3.225806,,79.7,,965.801075,26.777419,20.240645,14.954839,74.943548,,
83716,30/06/1973,0000,14,2.272222,9,163.2,,,227.8,2.5,,55.9,,965.342222,26.843333,19.971333,14.72,73.058333,,
83716,31/07/1973,0000,5,3.295699,11,184.2,,,206.1,2.677419,,40.1,,966.8,25.383871,18.441935,12.793548,74.75,,
83716,31/08/1973,0000,14,3.05914,9.5,201.2,,,170.7,3.086022,,51.2,,965.780645,25.83871,19.117419,13.36129,72.056452,,
83716,30/09/1973,0000,14,4.291111,13.3,224.7,,,128.5,3.188889,,52.6,,964.841111,27.613333,21.4,15.936667,78.516667,,
83716,30/11/1973,0000,32,3.196629,9.5,187.6,,,209.7,3.561798,,101.2,,961.596629,29.203333,23.500667,17.966667,76.35,,
83716,31/12/1973,0000,5,3.682796,10,152.1,,,198.1,5.053763,19,275,,960.574194,29.835484,24.438065,20.245161,88.33871,,
83716,31/01/1974,0000,32,3.139785,10,118.5,,,177.1,5.569892,20,273.5,,960.745161,29.86129,24.542581,20.767742,81.193548,,
83716,28/02/1974,0000,14,2.660714,9,132.8,,,227.8,4.297619,,118.6,,961.317857,32.089286,25.572857,20.764286,76.375,,
83716,31/03/1974,0000,18,3.021505,8,106.4,,,150.3,5.376344,18,289.6,,959.955914,29.058065,24.052903,20.135484,82.024194,,
83716,30/04/1974,0000,5,3.416667,11,175.9,,,236.2,3.166667,,90.2,,963.981111,29.03,22.674667,17.63,72.358333,,
83716,31/05/1974,0000,23,3.043011,7.5,158.6,,,271.5,1.655914,,87.1,,966.977419,26.43871,19.430323,13.735484,68.516129,,
83716,30/06/1974,0000,14,3.783333,13,116.8,,,173.1,4.011111,,134.5,,966.951111,24.026667,18.358667,13.673333,76.816667,,
83716,31/07/1974,0000,14,2.833333,9,209.6,,,265.6,1.870968,,10.8,,970.498925,27.070968,19.730968,13.964516,63.564516,,
83716,31/08/1974,0000,5,3.645161,11,258.7,,,215.1,2.913978,,43.8,,967.406452,27.719355,20.227097,14.912903,58.080645,,
83716,30/09/1974,0000,23,3.672222,9.5,276.9,,,211.9,2.066667,,28.6,,966.911111,30.076667,22.983333,17.276667,56.508333,,
83716,31/10/1974,0000,14,3.709677,15,191.5,,,201.1,3.924731,15,150.5,,964.393548,27.958065,22.114194,17.167742,63.516129,,
83716,30/11/1974,0000,14,3.704444,13,212.5,,,261.1,2.433333,,95.8,,963.006667,29.566667,23.206667,17.393333,59.35,,
83716,31/12/1974,0000,5,3.306452,11,136.5,,,133.2,5.741935,20,269.3,,962.927957,27.993548,23.492903,19.580645,72.870968,,
83716,31/01/1975,0000,14,3.107527,10.5,183.9,,,247.5,4.268817,,60.8,,965.333333,30.625806,24.884516,19.919355,66.564516,,
83716,28/02/1975,0000,14,2.720238,9.5,117.8,,,171.8,6,16,101.6,,961.338095,31.014286,25.697857,21.546429,79.017857,,
83716,31/03/1975,0000,14,3.77957,13.5,186.1,,,249.4,5.193548,,85.1,,963.619355,31.551613,25.503871,20.477419,73.709677,,
83716,30/04/1975,0000,14,3.572222,10,209,,,219.4,4.788889,,72.7,,963.378889,28.663333,22.814667,18.146667,70.35,,
83716,31/05/1975,0000,5,4.065591,12.5,222.9,,,238.6,3.731183,,13.7,,966.798925,26.819355,20.137419,14.996774,66.032258,,
83716,30/06/1975,0000,5,4.461111,13,235.4,,,214.1,4.055556,,34.6,,967.962222,26.33,19.651333,14.76,67.608333,,
83716,31/07/1975,0000,14,4.208791,10,215.3,,,259.9,2.311828,,76.5,,968.006452,25.248387,17.37871,11.758065,64.314516,,
83716,31/08/1975,0000,14,4.213978,11,282.1,,,235,2.645161,,0,,964.921505,31.374194,23.482581,17.535484,55.274194,,
83716,30/09/1975,0000,14,5.507778,13,390.1,,,176.5,4.044444,,28.8,,964.221111,31.32,23.885333,18.073333,53.725,,
83716,31/10/1975,0000,9,3.32043,12.5,185.7,,,230,5.698925,,204.2,,962.231183,28.574194,22.512903,17.451613,69.225806,,
83716,30/11/1975,0000,23,3.728889,12.3,150.7,,,192.8,7.177778,17,325.8,,960.663333,28.86,23.304667,18.72,76.825,,
83716,31/12/1975,0000,14,3.303226,12.5,149.5,,,204.1,7.086022,,140.4,,961.304301,30.2,24.542581,20.222581,76.096774,,
83716,31/01/1976,0000,9,3.348387,12,145.7,,,207.3,6.924731,22,162.3,,961.3,31.112903,25.216774,21.1,78.056452,,
83716,29/02/1976,0000,14,2.067816,9,118.2,,,187.5,7.011494,18,215.8,,961.203448,29.341379,24.00069,19.765517,80.043103,,
83716,31/03/1976,0000,5,2.355914,8.5,149.3,,,246.6,5.623656,,75.6,,962.389247,30.212903,24.094194,19.116129,74.354839,,
83716,30/04/1976,0000,14,1.872222,9,142.8,,,212.1,4.866667,,72.5,,964.811111,27.88,21.653333,16.856667,74.108333,,
83716,31/05/1976,0000,14,1.913978,10.5,121.9,,,190,6.053763,,86.6,,965.48172,25.577419,19.609677,15.493548,78.104839,,
83716,30/06/1976,0000,14,1.296667,5.5,158.6,,,212.9,3.855556,,77.8,,966.698889,24.893333,18.214,13.736667,70.1,,
83716,31/07/1976,0000,14,2.948387,11,204.4,,,220.3,4,,90.4,,967.852688,24.645161,18.352903,13.529032,66.620968,,
83716,31/08/1976,0000,14,2.763441,9.3,231.4,,,210.5,4.387097,,125.1,,966.664516,26.070968,19.87871,15.080645,65.733871,,
83716,30/09/1976,0000,5,1.981111,12,149.6,,,146,6.5,,86.8,,964.277778,24.8,19.274667,14.916667,75.466667,,
83716,31/10/1976,0000,27,2.840217,11.6,214.2,,,242.6,5.215054,,142.6,,963.02043,28.722581,22.289677,16.622581,70.322581,,
83716,30/11/1976,0000,14,1.897778,7.8,186.6,,,219.9,6.055556,,107.8,,960.974444,29.83,23.883333,18.95,69.366667,,
83716,31/12/1976,0000,5,1.529032,7.8,141.9,,,202.2,7.021505,,189.3,,959.956989,29.903226,24.542581,20.203226,77.177419,,
83716,31/01/1977,0000,9,1.603226,10,119.5,,,160.6,7.946237,21,224.8,,959.660215,29.587097,24.596774,20.993548,81.870968,,
83716,28/02/1977,0000,14,1.659524,6,178.7,,,236.2,5.321429,7,34.2,,963.504762,32.646429,26.693571,21.778571,67.651786,,
83716,31/03/1977,0000,5,2.706452,6.5,186.2,,,239.4,5.989247,10,98.6,,961.837634,32.987097,26.369032,21.322581,69.879032,,
83716,30/04/1977,0000,23,3.202222,8,166,,,210,5.155556,6,91.5,,964.1,28.2,22.292667,17.48,71.908333,,
83716,31/05/1977,0000,14,2.736559,6.5,178.5,,,238.9,4.645161,5,11,,966.178495,27.606452,20.92,15.758065,65.798387,,
83716,30/06/1977,0000,14,2.953333,7,131.2,,,193,5.077778,9,145.1,,967.173333,25.626667,19.381333,14.943333,73.775,,
83716,31/07/1977,0000,5,3.493548,8,256.4,,,244.8,3.569892,3,5.8,,965.365591,29.103226,22.202581,17.329032,58.467742,,
83716,31/08/1977,0000,23,3.297849,8.8,270.5,,,218.5,4.301075,6,27.1,,964.98172,28.883871,21.352903,15.719355,58.25,,
83716,30/09/1977,0000,14,2.953333,8,230.1,,,180.6,4.722222,9,85.2,,964.978889,29.416667,22.978,18.133333,62.55,,
83716,31/10/1977,0000,14,3.293548,7.8,290.8,,,235.4,5.430108,8,45.4,,963.470968,31.854839,25.109032,19.441935,62.5,,
83716,30/11/1977,0000,14,3.208889,9,159.5,,,192.3,7.166667,16,221.6,,961.321111,30.156667,24.447333,20.123333,75.875,,
83716,31/12/1977,0000,14,3.631183,9.5,207.4,,,189.8,7.215054,13,286.2,,961.708602,29.577419,24.105806,19.774194,73.774194,,
83716,31/01/1978,0000,18,3.008602,6.3,189.4,,,209.5,6.11828,12,179,,961.912903,31.225806,25.888387,21.554839,72.943548,,
83716,28/02/1978,0000,14,3.308333,9.6,222.1,,,253.6,4.583333,8,91.6,,961.175,32.789286,26.485,21.185714,62.848214,,
83716,31/03/1978,0000,5,3.009677,7.6,203,,,242.2,4.806452,8,127.3,,962.84086,30.809677,25.21871,20.832258,70.491935,,
83716,30/04/1978,0000,23,2.518889,6.6,230.4,,,280.3,2.833333,3,10.1,,963.875556,29.453333,22.416,16.55,59.141667,,
83716,31/05/1978,0000,23,2.447312,9.1,195.3,,,222.7,3.827957,7,119,,964.305376,26.006452,19.45871,14.445161,64.169355,,
83716,30/06/1978,0000,23,2.863333,6.8,200.7,,,197.8,4.5,2,5.4,,967.554444,25.52,19.186,14.47,65.108333,,
83716,31/07/1978,0000,5,3.853763,12.5,263.4,,,215.8,3.924731,7,121.7,,965.413978,26.796774,20.547097,16.119355,63.895161,,
83716,31/08/1978,0000,14,3.462366,8,336.5,,,190.6,3.849462,0,0,,967.96129,26.293548,19.230323,14.035484,54.346774,,
83716,30/09/1978,0000,23,3.534091,8.3,264.3,,,183.5,4.777778,11,106.9,,965.718889,27.763333,21.47,16.143333,64.05,,
