Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83587,31/07/1977,0000,14,1.613978,3.8,89.9,,,275.5,2.473118,1,2.8,,923.355914,26.790323,18.792258,12.670968,64.685484,,
83587,31/08/1977,0000,5,1.902151,4.6,134,,,239.3,3.096774,1,0.7,,921.206452,28.883871,20.994194,14.312903,56.379032,,
83587,30/09/1977,0000,14,2.13,3.5,106.4,,,159.7,5.633333,7,68.6,,921.635556,26.17,20.577333,15.946667,66.233333,,
83587,31/10/1977,0000,18,1.941935,3.5,113.1,,,205.5,5.494624,6,33.9,,920.339785,28.73871,22.68129,17.735484,65.096774,,
83587,30/11/1977,0000,9,1.712222,3.5,72,,,122.9,7.688889,20,173.8,,918.005556,28.096667,22.654,18.42,78.4,,
83587,31/12/1977,0000,9,1.916129,3.8,85.3,,,191.3,6.526882,15,143.8,,918.587097,28.283871,22.556129,17.541935,81.177419,,
83587,31/01/1978,0000,14,1.892473,3.8,78.5,,,206.2,5.623656,15,207.9,,919.188172,28.380645,23.123871,18.103226,75.217742,,
83587,28/02/1978,0000,14,1.769048,2.5,68,,,147.6,6.666667,16,487.3,,918.459524,27.757143,22.293571,17.739286,78.5625,,
83587,31/03/1978,0000,14,1.880645,3.5,91.8,,,240.4,4.795699,11,108.3,,919.889247,28.919355,22.827742,17.432258,73.137097,,
83587,30/04/1978,0000,9,1.996667,3.3,71.8,,,209.3,5.2,10,98.7,,919.678889,27.41,21.195333,15.8,73.2,,
83587,31/05/1978,0000,18,1.495699,2.3,59.5,,,188.5,4.698925,10,79.4,,919.866667,25.132258,19.012258,14.164516,78.096774,,
83587,30/06/1978,0000,27,1.411111,3.1,64.6,,,248.4,3.477778,0,0,,923.777778,24.493333,17.653333,12.25,75.591667,,
83587,31/07/1978,0000,5,1.513978,3,69.4,,,222.1,4.290323,5,54.9,,922.412903,25.319355,18.569677,13.225806,73.782258,,
83587,31/08/1978,0000,9,1.575269,4.1,105.8,,,222.5,2.827957,1,0.6,,923.543011,26.829032,19.282581,13.148387,62.83871,,
83587,30/09/1978,0000,9,1.935556,3.3,96.8,,,181.2,4.988889,5,9.4,,922.594444,26.486667,20.006667,15.16,72.691667,,
83587,31/10/1978,0000,14,1.568817,3.6,100.1,,,210.2,5.086022,14,166.1,,918.953763,29.032258,22.319355,17.312903,71.741935,,
83587,30/11/1978,0000,36,1.854444,3.5,70.9,,,131.2,7.377778,15,254.3,,918.701111,27.156667,21.932,18.03,76.083333,,
83587,31/12/1978,0000,9,1.689247,3.1,66.4,,,180.3,6.731183,16,322.5,,918.678495,27.66129,22.083226,17.703226,78.016129,,
83587,31/01/1979,0000,9,1.645833,7.5,48.1,,,,8.472222,20,351.6,,911.9875,26.782143,21.02,17.332143,83.541667,,
83587,28/02/1979,0000,14,1.559322,3.8,39.9,,,,7.305085,16,464.4,,912.408475,27.391667,21.885263,18.183333,83.973684,,
83587,31/03/1979,0000,9,1.701111,3.8,60.3,,,191.9,6.266667,17,243.1,,913.19,28.187097,22.072667,17.225806,79.675,,
83587,30/04/1979,0000,14,,3.1,55.5,,,179.1,5.238095,11,97.9,,914.166667,26.683333,,16.256667,,,
83587,31/05/1979,0000,27,1.592683,4.1,56.1,,,210.4,4.45122,3,71.9,,915.179268,26.983333,20.54963,15.486667,82.416667,,
83587,30/06/1979,0000,,,,55,,,239.5,,0,0,,,24.303333,,10.916667,,,
83587,31/07/1979,0000,,,,49,,,,,2,27,,924.246667,24.654167,,11.529167,,,
83587,31/08/1979,0000,,1.785417,,80.8,,,235,,4,19.7,,922.658333,27.089655,19.3825,14.375862,73.21875,,
83587,30/09/1979,0000,,2.094643,,58.9,,,,,4,30.1,,921.478571,26.488,19.627059,15.48,76.676471,,
83587,31/10/1979,0000,,1.973494,,,,,189.7,,8,23.5,,919.603614,29.175,22.872143,17.632143,64.330357,,
83587,30/11/1979,0000,,1.610714,,,,,,,6,77.4,,918.651786,28.342105,22.101053,16.757895,75.319444,,
83587,31/12/1979,0000,,1.425806,,54.3,,,130,,17,312.1,,917.653968,28.285185,22.611429,18.3,88.547619,,
83587,28/02/1981,0000,9,1.971429,4.1,88,,,,4.493506,3,7.5,,918.675325,29.515385,23.393846,18.4,72.307692,,
83587,31/03/1981,0000,18,1.307778,3.3,75.9,,,141.1,6.191011,18,195,,914.973333,28.643333,23.188667,19.213333,83.308333,,
83587,30/04/1981,0000,18,1.549412,7.1,80.7,,,231.9,3.858824,4,83.3,,918.232941,26.810714,20.656429,15.935714,86.071429,,
83587,31/05/1981,0000,9,1.517442,3.5,73.7,,,222.5,4.151163,2,7,,920.019767,25.837931,19.438621,14.527586,84.62069,,
83587,30/06/1981,0000,0,1.301235,7.2,62.5,,,209.8,4.432099,3,17.5,,921.158025,24.462963,17.713333,12.844444,88.962963,,
83587,31/07/1981,0000,36,1.724138,5.8,,,,259.6,3.356322,,0,,922.455952,24.289655,16.92069,11.355172,84.827586,,
83587,31/08/1981,0000,0,1.641975,4.1,134.8,,,209.6,3.308642,,0,,920.650617,26.151852,18.876923,12.95,84.898148,,
83587,30/09/1981,0000,18,1.918293,4.6,139.4,,,187,3.463415,1,0.8,,919.695122,29.211111,21.668889,15.718519,80.203704,,
83587,31/10/1981,0000,9,1.555814,4.1,87.8,,,126.9,7.093023,16,120.9,,917.024419,26.451724,20.82,17.186207,89.491379,,
83587,30/11/1981,0000,27,1.134177,5,55.7,,,,7.518987,19,404,,915.150633,27.276923,21.84,18.146154,92.519231,,
83587,31/12/1981,0000,0,1.454545,4.6,75.5,,,,6.649351,13,248.2,,916.255844,27.911538,22.422308,18.292308,88.182692,,
83587,31/01/1982,0000,18,1.53494,4.1,63.5,,,134,7.73494,17,330.5,,916.125,26.771429,21.828889,18.085714,88,,
83587,28/02/1982,0000,9,1.836905,5.8,115.7,,,228.1,5.511905,7,52,,917.761905,29.414286,23.247143,18.364286,83.071429,,
83587,31/03/1982,0000,,1.095402,,,,,112.1,,25,374.4,,915.318391,27.403448,22.228276,18.682759,89.991379,,
83587,30/04/1982,0000,18,1.417778,4.3,95.6,,,206.6,5.777778,6,24.5,,918.792222,26.29,20.116,15.423333,89.651786,,
83587,31/05/1982,0000,0,1.377011,3.3,85.9,,,195.4,5.091954,5,32.2,,920.026437,24.858621,18.351034,13.244828,86.844828,,
83587,30/06/1982,0000,9,1.186207,3.3,89.2,,,238.3,3.597701,1,31,,920.714943,26.272414,19.29931,14.024138,88.310345,,
83587,31/07/1982,0000,9,1.221591,3.3,102.8,,,240.3,3.340909,1,2.8,,921.215909,25.331034,18.348966,13.172414,77.086207,,
83587,31/08/1982,0000,14,1.485542,3.8,119.2,,,196.4,4.698795,1,8.6,,921.271084,26.696429,20.174286,14.967857,71.116071,,
83587,30/09/1982,0000,9,1.463333,4.6,158.4,,,224.5,4.055556,4,23.8,,919.058889,27.433333,20.677333,15.406667,69.216667,,
83587,31/10/1982,0000,9,1.255556,3,109.5,,,174,5.922222,12,50.7,,916.515556,28.703333,22.440667,17.8,76.008333,,
83587,30/11/1982,0000,9,1.401282,5,140.2,,,,5.320513,5,65.4,,915.530769,31.280769,24.943846,19.784615,64.375,,
83587,31/12/1982,0000,,1.232143,,,,,85,,22,307.6,,915.945238,27.364286,22.112143,18.803571,82.473214,,
83587,31/01/1983,0000,,1.573913,,,,,94,,28,607.9,,914.703261,26.822581,22.216,18.909677,85.541667,,
83587,28/02/1983,0000,,1.414103,,,,,,,11,220.5,,916.961538,28.426923,22.791538,18.938462,82.153846,,
83587,31/03/1983,0000,,1.182143,,,,,145.5,,17,269.1,,916.865476,28.021429,22.571429,18.664286,80.544643,,
83587,30/04/1983,0000,,1.089655,,,,,187.9,,12,113.6,,916.904598,27.937931,21.893793,17.441379,78.586207,,
83587,31/05/1983,0000,,1.027957,,,,,204.7,,8,61.3,,917.380645,26.951613,20.914194,16.629032,77.274194,,
83587,30/06/1983,0000,,0.996552,,,,,254.3,,,0,,919.457471,26.893103,20.266207,15.5,72.172414,,
83587,31/07/1983,0000,,1.043333,,,,,243.6,,3,37.3,,919.615556,26.373333,19.18,13.78,73.433333,,
83587,31/08/1983,0000,,1.376344,,,,,268,,2,1.4,,920.764516,26.458065,19.196129,13.090323,60.790323,,
83587,30/09/1983,0000,,1.361905,,,,,102.6,,15,95.8,,918.540476,26.489286,20.930714,17.075,73.535714,,
83587,31/10/1983,0000,,1.397849,,,,,146.3,,12,160.3,,917.793548,26.277419,20.992903,16.964516,79.072581,,
83587,30/11/1983,0000,,0.99881,,,,,122,,18,328.5,,917.145238,27.125,22.002143,18.042857,79.419643,,
83587,31/12/1983,0000,,1.125806,,,,,118.3,,22,411.3,,916.823656,27.019355,22.086452,18.635484,79.951613,,
83587,31/01/1986,0000,,1.18022,,,,,189.8,,19,284.1,,918.205435,28.487097,23.003226,18.793548,74.258065,,
83587,28/02/1986,0000,,1.165476,,,,,186,,11,98.2,,918.616667,29.417857,23.487857,18.578571,71.482143,,
83587,31/03/1986,0000,,1.350538,,,,,236.8,,9,79.2,,915.725806,30,24.040645,19.441935,64.491935,,
83587,30/04/1986,0000,,1.882222,,,,,216.3,,5,60.5,,912.656667,28.373333,22.713333,18.28,62.433333,,
83587,31/05/1986,0000,,1.313978,,,,,215,,5,68.7,,913.66129,26.864516,21.441935,16.974194,63.395161,,
83587,30/06/1986,0000,,1.601111,,,,,242.1,,2,6.4,,916.894444,24.32,18.588667,13.7,62.983333,,
83587,31/07/1986,0000,,1.266667,,,,,241.9,,2,29,,917.212903,24.170968,18.333548,13.570968,65.41129,,
83587,31/08/1986,0000,,1.505376,,,,,222.7,,5,35.7,,914.524731,26.158065,20.526452,15.674194,67.483871,,
83587,30/09/1986,0000,,1.961111,,,,,215,,2,11.1,,916.716667,26.003333,20.400667,15.486667,58.741667,,
83587,31/10/1986,0000,,1.796774,,,,,204.6,,2,3.2,,913.276344,29.087097,23.006452,17.706452,52.822581,,
83587,30/11/1986,0000,,1.737778,,,,,208.5,,11,180.2,,912.286667,28.86,22.806667,17.913333,63.275,,
83587,31/12/1986,0000,,1.215054,,,,,115.6,,25,453.4,,911.558065,27.348387,22.583226,18.96129,75.959677,,
83587,31/01/1988,0000,,1.608696,,,,,227.9,,15,187.6,,911.821739,29.970968,24.405806,20.187097,65.604839,,
83587,29/02/1988,0000,,1.72069,,,,,150.7,,16,297.7,,910.855172,28.87931,23.471034,19.524138,70.431034,,
83587,31/03/1988,0000,,1.052688,,,,,221.1,,10,169.4,,912.323656,28.764516,23.487097,19.412903,63.991935,,
83587,30/04/1988,0000,,1.394444,,,,,184.6,,9,96.3,,912.967778,27.62,22.742667,18.7,70.083333,,
83587,31/05/1988,0000,,1.07957,,,,,227.7,,6,29.6,,913.716129,27.503226,21.696129,17.003226,70.072581,,
83587,30/06/1988,0000,,1.388889,,,,,241.8,,2,1.8,,916.326667,24.546667,18.590667,13.52,63.133333,,
83587,31/07/1988,0000,,1.341935,,,,,268.8,,0,0,,918.387097,23.164516,17.447742,13.029032,60.032258,,
83587,31/08/1988,0000,,1.466304,,,,,269.3,,,0,,916.504348,25.277419,19.462667,14.33871,58.558333,,
83587,30/09/1988,0000,,1.692222,,,,,225.1,,1,68,,914.338889,29.42,22.816,18,59.2,,
83587,31/10/1988,0000,,1.45914,,,,,166.9,,11,63.9,,911.65914,27.716129,22.156129,18.032258,68.612903,,
83587,30/11/1988,0000,,1.817778,,,,,168.3,,13,105.2,,912.501111,26.973333,21.629333,17.72,71.108333,,
83587,31/12/1988,0000,,1.209677,,,,,176.5,,21,234.2,,910.348387,28.258065,22.892903,19.109677,80.443548,,
83587,31/01/1989,0000,,1.61828,,,,,225.8,,15,153.9,,911.709677,29.683871,23.832903,19.893548,74.291667,,
83587,28/02/1989,0000,,1.516667,,,,,160.9,,18,298.6,,911.582143,29.592857,23.74,20.060714,80.1875,,
83587,31/03/1989,0000,,1.268817,,,,,220.6,,10,230,,911.51828,29.16129,23.479355,19.887097,78.104839,,
83587,30/04/1989,0000,,1.418889,,,,,231,,1,5.2,,912.531111,29.116667,23.44,19.53,72.358333,,
83587,31/05/1989,0000,,1.210753,,,,,228.5,,3,3,,915.668817,26.077419,20.132258,15.974194,75.806452,,
83587,30/06/1989,0000,,1.551163,,,,,216.6,,6,43.6,,915.391111,24.063333,18.964,14.906667,79.383333,,
83587,31/07/1989,0000,,1.538043,,,,,254.1,,5,37.4,,916.45914,23.632258,17.896129,13.280645,74.790323,,
83587,31/08/1989,0000,,1.289394,,,,,,,2,26.5,,916.086486,23.458333,19.503636,16.016667,73.715909,,
83587,30/09/1989,0000,,1.248889,,,,,227,,8,77.4,,912.607778,28.153333,22.19,17.423333,71.391667,,
83587,31/10/1989,0000,,1.91087,,,,,225.8,,13,162.9,,913.059783,26.809677,21.328387,17.041935,74.558333,,
83587,30/11/1989,0000,,1.573333,,,,,144.9,,23,307.6,,910.321111,26.76,21.945333,18.666667,83.333333,,
83587,31/12/1989,0000,,1.946739,,,,,147.1,,17,465.7,,910.480435,25.948387,21.772903,18.6,79.758065,,
83587,31/01/1990,0000,9,1.766304,4.1,210.4,,,286.2,4.065217,6,50.6,,911.964516,29.874194,24.641935,20.177419,67.806452,,
83587,28/02/1990,0000,9,1.422619,3.6,147.1,,,195,5.809524,15,202.5,,911.34881,29.003571,23.882143,19.867857,74.75,,
83587,31/03/1990,0000,9,1.618889,5,146.9,,,230.3,5.144444,10,117.1,,913.016667,29.656667,24.335333,20.266667,74.033333,,
83587,30/04/1990,0000,9,1.698889,5,150.7,,,221.7,4.111111,7,61.7,,912.934444,28.776667,23.754,19.813333,73.7,,
83587,31/05/1990,0000,18,1.751613,5,131.2,,,233.5,3.978495,6,49.7,,914.26129,25.735484,20.24,16.045161,73.887097,,
