Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83464,30/11/1978,0000,,,,,,,,,,34.8,,,,,,,,
83464,31/12/1978,0000,,,,139.9,,,,7.11828,22,367,,,28.841176,23.208235,19.417241,77.812903,,
83464,31/01/1979,0000,,,,95.9,,,,7.121212,23,299,,,,,20.123333,,,
83464,28/02/1979,0000,,,,,,,,6.052632,15,398.4,,,30.088889,23.855556,19.377273,,,
83464,31/03/1979,0000,,,,,,,,5.957143,,97.6,,,30.152174,23.54087,19.13913,79.717391,,
83464,30/04/1979,0000,,,,,,,,,,1.7,,,30.0625,22.385,16.85,,,
83464,31/05/1979,0000,,,,,,,,4.818182,,7.6,,,29.266667,20.582222,14.544444,,,
83464,30/06/1979,0000,,,,188.8,,,,2.453488,,0,,,28.617241,17.817241,9.665517,64.616071,,
83464,31/07/1979,0000,,,,,,,,3.625,,5.9,,,29.010526,19.493333,12.084211,,,
83464,31/08/1979,0000,,,,,,,,1.930233,,7.2,,,,,,,,
83464,30/09/1979,0000,,,,,,,,5.363636,,79.6,,,29.986957,22.75,17.165217,,,
83464,31/10/1979,0000,,,,,,,,5.946667,,39.8,,,32.064,24.5,18.652,68.076087,,
83464,30/11/1979,0000,,,,,,,,5.935065,,266.4,,,30.023077,23.440769,18.346154,74.45,,
83464,31/12/1979,0000,,,,,,,,7.515152,20,237.2,,,30.130435,23.937143,19.530435,,,
83464,31/01/1980,0000,,,,125.7,,,,6.065217,22,218,,,29.374194,23.605161,19.429032,79.008065,,
83464,29/02/1980,0000,,,,,,,,7.162791,20,292.6,,,29.3,23.696552,19.865517,81.330357,,
83464,31/03/1980,0000,,,,140.2,,,,4.55914,,146.1,,,31.235484,23.376774,17.93871,78.508065,,
83464,30/04/1980,0000,,,,144.3,,,,5.411765,,123.7,,,29.786667,22.503448,17.326667,78.803571,,
83464,31/05/1980,0000,,,,182,,,,3.626374,,27.2,,,28.66129,20.286667,14.364516,74.491667,,
83464,30/06/1980,0000,,,,186.9,,,,2.222222,,20.8,,,28.096667,18.14,10.893333,70.241667,,
83464,31/07/1980,0000,,,,216.2,,,229,2.130435,,3.4,,,29.516129,19.549333,11.903226,65.25,,
83464,31/08/1980,0000,,,,274.7,,,190.6,2.945652,,13.5,,,31.964516,22.198065,14.596774,58.137097,,
83464,30/09/1980,0000,,,,262.3,,,133.1,4.292135,,26,,,30.436667,21.596552,14.64,62.205357,,
83464,31/10/1980,0000,,,,302.5,,,198.1,4.055556,,83.4,,,33.093548,25.134483,18.441935,60.715517,,
83464,30/11/1980,0000,,,,147.3,,,147.7,6.522222,17,200.2,,,29.9,23.992,19.5,76.383333,,
83464,31/12/1980,0000,,,,125.4,,,146.6,7.483871,27,325.7,,,29.190323,23.672258,19.877419,79.233871,,
83464,31/01/1981,0000,,,,98.4,,,136.1,8.08046,25,311.4,,,29.69,23.617143,19.42,81.037037,,
83464,28/02/1981,0000,,,,,,,174,5.875,15,71.5,,,31.203571,23.841538,18.910714,77.01087,,
83464,31/03/1981,0000,,,,91.2,,,113,8.047619,20,285.8,,,29.635714,23.664286,20.1,84.092593,,
83464,30/04/1981,0000,,,,153.5,,,204.9,5.129412,,12.6,,,30.507143,22.08,15.996429,75.241071,,
83464,31/05/1981,0000,,,,195,,,248.3,3.206522,,1.3,,,29.712903,19.996129,12.832258,69.943548,,
83464,30/06/1981,0000,,,,159.4,,,200.9,4.413793,,69.6,,,27.565517,17.736552,10.931034,72.396552,,
83464,31/07/1981,0000,,,,204.9,,,220.3,3.142857,,0,,,27.278571,16.716429,8.907143,63.732143,,
83464,31/08/1981,0000,,,,291.7,,,197.8,1.975309,,5.2,,,32.055556,21.363704,12.222222,50.5,,
83464,30/09/1981,0000,,,,380.4,,,135.1,3.302326,,20.5,,,32.986207,23.36,15.413793,49.991379,,
83464,31/10/1981,0000,,,,187.2,,,168.3,6.913978,16,144.5,,,30.858065,23.812258,18.567742,71.733333,,
83464,30/11/1981,0000,,,,146.2,,,171.2,6.804598,,110.9,,,30.527586,24.447586,20.227586,76.017241,,
83464,31/12/1981,0000,,,,120.5,,,144.6,7.25,26,261.8,,,30.009677,23.989333,19.919355,81.908333,,
83464,31/01/1982,0000,,,,108.6,,,128.3,7.763441,24,391,,,29.225806,23.661935,20.067742,82.798387,,
83464,28/02/1982,0000,,,,106.5,,,144,5.535714,21,195.5,,,29.617857,23.455,19.032143,79.9375,,
83464,31/03/1982,0000,,,,112.9,,,126.1,6.247312,24,356.6,,,29.86129,23.869032,20.129032,83.814516,,
83464,30/04/1982,0000,,,,141.7,,,198.6,4.911111,,149.8,,,28.603333,21.481333,16.593333,77.541667,,
83464,31/05/1982,0000,,,,151,,,218.1,5.021505,,90.5,,,27.732258,19.446452,13.467742,75.983871,,
83464,30/06/1982,0000,,,,157.3,,,189.3,3.388889,,14.1,,,28.496667,20.067333,14.3,76.241667,,
83464,31/07/1982,0000,,,,226.4,,,242.7,2.252747,,3.7,,,29.029032,19.251333,12.029032,66.913793,,
83464,31/08/1982,0000,,,,222.3,,,186.9,5.296703,,89,,,29.935484,21.154194,14.658065,67.83871,,
83464,30/09/1982,0000,,,,201.6,,,182.4,4.766667,,66.7,,,30.39,22.128667,16.056667,70.708333,,
83464,31/10/1982,0000,,,,161,,,177.6,6.526882,21,194.7,,,31.190323,23.703871,18.712903,76.241935,,
83464,30/11/1982,0000,,,,164.1,,,171.8,6.533333,18,173,,,31.696667,24.714667,19.67,73.975,,
83464,31/12/1982,0000,,,,114.7,,,89.4,8.075269,25,289.2,,,28.648387,23.026452,19.722581,81.645161,,
83464,31/01/1983,0000,,,,136.1,,,141.1,7.935484,29,426.7,,,29.912903,24.21871,20.609677,80.580645,,
83464,28/02/1983,0000,,,,127.6,,,158.9,6.97619,20,287.8,,,31.125,24.190714,19.632143,78.785714,,
83464,31/03/1983,0000,,,,139.3,,,161.2,6.698925,,252.9,,,30.067742,23.635484,18.93871,78.814516,,
83464,30/04/1983,0000,,,,110.4,,,183.2,6.011111,18,222.3,,,30.1,23.056,18.28,79.483333,,
83464,31/05/1983,0000,,,,175.2,,,206.8,4.795699,,41.7,,,29.258065,21.589032,15.880645,75.887097,,
83464,30/06/1983,0000,,,,128.2,,,207.3,4.9,,10.1,,,28.006667,19.332,13.566667,76.758333,,
83464,31/07/1983,0000,,,,229,,,228.3,3.268817,,36.4,,,29.622581,19.367097,12.2,67.016129,,
83464,31/08/1983,0000,,,,296.1,,,247.4,1.293478,,0,,,30.912903,19.527097,10.748387,56.275,,
83464,30/09/1983,0000,,,,216.2,,,122.5,5.977778,,40,,,30.826667,22.858667,17.04,68.325,,
83464,31/10/1983,0000,,,,158.1,,,133.8,7.27957,18,197,,,29.158065,22.798065,18.177419,75.830645,,
83464,30/11/1983,0000,,,,118.9,,,107.5,8.311111,20,150.6,,,28.226667,23.000667,18.973333,78.2,,
83464,31/12/1983,0000,,,,105.4,,,113.6,8.204301,27,402.7,,,28.496774,22.703871,19.009677,82.354839,,
83464,31/01/1984,0000,,,,149.2,,,197.4,6.268817,19,350.4,,,31.112903,23.990968,19.019355,74,,
83464,29/02/1984,0000,,,,123,,,178.7,5.632184,15,172.4,,,31.003448,23.610345,18.648276,78.336207,,
83464,31/03/1984,0000,,,,109.8,,,187,7.010753,22,263,,,30.803226,23.998065,19.606452,80.33871,,
83464,30/04/1984,0000,,,,104.7,,,171.8,6.322222,15,150.9,,,29.196667,22.34,17.786667,79.458333,,
83464,31/05/1984,0000,,,,119.6,,,215.7,4.290323,,27.6,,,29.829032,21.209677,15.709677,76.967742,,
83464,30/06/1984,0000,,,,181,,,233.4,2.411111,,0,,,29.09,18.296667,11.023333,68.333333,,
83464,31/07/1984,0000,,,,278.7,,,220.5,3.462366,,3.9,,,29.758065,18.923871,10.987097,58.016129,,
83464,31/08/1984,0000,,,,261.3,,,209.3,3.989247,,165.9,,,29.180645,19.492903,12.419355,62.91129,,
83464,30/09/1984,0000,,,,248.4,,,206.5,4.688889,,44.1,,,30.133333,21.027333,14.216667,63.191667,,
83464,31/10/1984,0000,,,,249.2,,,214.1,5.655914,,123,,,32.364516,24.606452,18.583871,65.403226,,
83464,30/11/1984,0000,,,,193.8,,,186.1,6.633333,,230.4,,,31.48,24.408667,19.016667,69.033333,,
83464,31/12/1984,0000,,,,135.9,,,125,8.182796,19,131.5,,,29.583871,23.823871,19.919355,78.241935,,
83464,31/01/1985,0000,,,,109.6,,,124.3,8.010753,24,367.7,,,28.896774,23.60129,20.206452,82.354839,,
83464,28/02/1985,0000,,,,127.3,,,183.3,5.928571,20,193.9,,,31.032143,23.882857,18.978571,78.008929,,
83464,31/03/1985,0000,,,,110,,,143.7,7.44086,22,335.6,,,30.403226,23.616129,19.532258,81.975806,,
83464,30/04/1985,0000,,,,122.4,,,196.3,5.722222,18,159.1,,,29.97,22.624667,18.1,80.325,,
83464,31/05/1985,0000,,,,164.9,,,228,3.48913,,10.6,,,29.416129,20.640645,14.593548,73.008065,,
83464,30/06/1985,0000,,,,213.7,,,241.2,2.022222,,2.3,,,27.756667,15.591333,7.543333,63.333333,,
83464,31/07/1985,0000,,,,243.5,,,249.8,1.967742,,20.5,,,28.132258,17.049677,8.951613,62.064516,,
83464,31/08/1985,0000,,,,321.2,,,224.4,1.978495,,8.2,,,31.841935,20.156774,11.558065,53.483871,,
83464,30/09/1985,0000,,,,312.1,,,151.5,4.866667,,15.2,,,32.906667,23.656,16.44,51.033333,,
83464,31/10/1985,0000,,,,301.6,,,196.4,5.11828,,59.1,,,33.132258,24.578065,17.8,56.129032,,
83464,30/11/1985,0000,,,,223.3,,,181.1,5.788889,15,219.9,,,31.226667,24.388667,18.86,64.583333,,
83464,31/12/1985,0000,,,,216.2,,,232.9,4.741935,,65.4,,,32.267742,25.009677,19.464516,67,,
83464,31/01/1986,0000,,,,135.6,,,160.8,6.827957,20,243.4,,,29.916129,23.929677,20.006452,78.370968,,
83464,28/02/1986,0000,,,,106.9,,,136,7.333333,16,151.1,,,29.917857,23.556429,19.603571,78.482143,,
83464,31/03/1986,0000,,,,121.9,,,160.8,6.623656,18,108.4,,,30.03871,23.53871,19.264516,79.008065,,
83464,30/04/1986,0000,,,,139.5,,,223.3,4.555556,,70.4,,,30.956667,23.124667,17.966667,74.716667,,
83464,31/05/1986,0000,,,,142.7,,,197.5,5.16129,,124.6,,,29.590323,21.333548,16.351613,77.572581,,
83464,30/06/1986,0000,,,,165.9,,,248.5,2.211111,,0,,,28.18,17.776667,10.33,69.133333,,
83464,31/07/1986,0000,,,,182.1,,,233.6,2.924731,,12.4,,,27.793548,17.117419,9.964516,67.701613,,
83464,31/08/1986,0000,,,,178.9,,,147,5.634409,,72.5,,,29.725806,20.985806,15.219355,68.612903,,
83464,30/09/1986,0000,,,,202.5,,,182.3,4.555556,,74.6,,,30.086667,21.859333,15.676667,64.266667,,
83464,31/10/1986,0000,,,,221.8,,,220.3,5.096774,,46.6,,,31.825806,23.954194,17.748387,63.459677,,
83464,30/11/1986,0000,,,,188.2,,,191.7,5.466667,,156,,,31.483333,23.951333,18.36,69.575,,
