Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83319,31/08/1987,0000,,,,,,,,,1,3,,,,,,,,
83319,31/10/1987,0000,,,,,,,,,,0,,,,,,,,
83319,30/11/1987,0000,,,,,,,,,4,175.2,,,,,,,,
83319,31/12/1987,0000,,,,,,,,,6,93.3,,,,,,,,
83319,31/01/1988,0000,,,,69.7,,,,,10,340.8,,,33.761111,,21.005556,,,
83319,29/02/1988,0000,,,,43.6,,,,,8,97.1,,,32.2,,21.633333,,,
83319,31/03/1988,0000,,,,38.6,,,,,9,74.7,,,31.323529,,20.894118,,,
83319,30/04/1988,0000,,,,60.4,,,,,9,150.2,,,32.9,,20.756522,,,
83319,31/05/1988,0000,,,,,,,,,2,13.9,,,,,,,,
83319,30/06/1988,0000,,,,,,,,,,0,,,,,,,,
83319,30/09/1988,0000,,,,,,,,,,0,,,,,,,,
83319,31/10/1988,0000,,,,,,,,,2,31.2,,,,,,,,
83319,30/11/1988,0000,,,,,,,,,7,154.4,,,,,,,,
83319,31/12/1988,0000,,,,57.8,,,,,5,52.7,,,32.8625,,21.90625,,,
83319,31/05/1989,0000,,,,,,,,,,0,,,,,,,,
83319,31/01/1994,0000,,,,,,,,,,114,,,,,20.773333,,,
83319,28/02/1994,0000,,,,58.2,,,,,3,69.8,,,,,19.905882,,,
83319,30/04/1994,0000,,,,68.4,,,,,6,133.4,,,32.615,,20.79,,,
83319,31/05/1994,0000,,,,67.6,,,,,2,10.6,,,33.02,,17.386667,,,
83319,30/06/1994,0000,,,,80.6,,,,,2,13.8,,,32.005882,,15.788235,,,
83319,31/07/1994,0000,,,,110.2,,,,,1,51.6,,,31.755556,,15.066667,,,
83319,31/08/1994,0000,,,,192.8,,,,,,0,,,34.76087,,14.904348,,,
83319,30/09/1994,0000,,,,173.5,,,,,,0,,,36.993333,,19.266667,,,
83319,31/10/1994,0000,,,,,,,,,1,15.6,,,36.566667,,21.826667,,,
83319,30/11/1994,0000,,,,61.9,,,,,8,260,,,32.4,,21.575,,,
83319,31/12/1994,0000,,,,46.8,,,,,12,121.6,,,30.79,,22.14,,,
83319,28/02/1995,0000,0,0.833333,4,39.2,,,,7.516667,15,146.7,,968.423333,30.76,24.988,21.76,90.65,,
83319,31/01/1998,0000,0,0.292135,2,79.9,,,172.2,7.292135,17,264.8,,967.457303,31.883333,25.766897,22.180645,87.413793,,
83319,28/02/1998,0000,0,0.238095,2,70.5,,,150.5,6.845238,16,463.2,,968.286905,32.6,26.215714,22.6,86.383929,,
83319,31/03/1998,0000,0,0.238889,6.5,87.6,,,199.4,5.288889,13,74.8,,967.905556,32.948387,26.195333,22.277419,86.233333,,
83319,30/04/1998,0000,0,0.344444,2,109.6,,,260.6,3.788889,3,21.6,,967.698889,34.62,26.786667,21.96,81.708333,,
83319,31/05/1998,0000,0,0.543478,2,172.2,,,258.6,3.630435,1,0.6,,970.351087,32.993548,24.371333,18.448387,78.066667,,
83319,30/06/1998,0000,0,0.516854,2,206.2,,,284.5,1.629213,0,0,,971.924719,33.123333,22.947586,15.923333,74.931034,,
83319,31/07/1998,0000,0,0.494624,2,238.1,,,309.8,0.946237,0,0,,970.997849,34.264516,22.930968,14.603226,65.774194,,
83319,31/08/1998,0000,0,,2,194.7,,,,0.904762,,0,,968.573016,36.986364,25.372381,16.277273,50.642857,,
83319,30/09/1998,0000,0,0.651685,3,239.7,,,127.3,2.292135,3,40,,967.921348,35.89,26.377241,19.446667,65.353448,,
83319,31/10/1998,0000,18,0.52809,2,192.1,,,203.8,5.52809,8,98.4,,967.570787,34.741935,27.29,21.548387,78.732759,,
83319,30/11/1998,0000,0,0.25,2,81.9,,,142.2,7.454545,19,238.4,,966.304545,31.936667,25.522759,21.863333,90.205357,,
83319,31/12/1998,0000,0,0.24359,2,56.2,,,120.7,8.213333,21,426.3,,966.569231,31.141935,25.3936,21.793333,91.706522,,
83319,31/01/1999,0000,0,0.365591,2,80.3,,,173.3,6.870968,17,272.9,,966.566667,31.635484,25.325161,21.46129,87.935484,,
83319,28/02/1999,0000,0,0.721519,6,81.1,,,171.6,6.455696,13,209.5,,967.651899,32.235714,25.736154,21.864286,86.259615,,
83319,31/03/1999,0000,0,0.419355,2,71.6,,,182.4,7.870968,13,247,,966.888172,31.4,25.294839,21.377419,88.290323,,
83319,30/04/1999,0000,9,0.833333,4,136.5,,,276.1,5.188889,2,2,,969.223333,33.28,25.242667,19.446667,82.625,,
83319,31/05/1999,0000,0,0.849462,6,148.8,,,274.3,3.623656,2,9,,970.411828,32.393548,22.882581,15.580645,77.685484,,
83319,30/06/1999,0000,0,0.755556,6,164.3,,,274.5,3.711111,0,0,,970.133333,33.486667,22.729333,14.64,80.358333,,
83319,31/07/1999,0000,0,0.741935,4,206.7,,,296.4,2.505376,0,0,,971.777419,33.809677,22.585161,14.154839,71.370968,,
83319,31/08/1999,0000,0,1.219355,6,280.2,,,291.3,2.526882,0,0,,971.095699,34.225806,23.762581,14.245161,57.080645,,
83319,30/09/1999,0000,0,0.733333,4,251.8,,,212.5,3.288889,3,7.8,,967.162222,36.743333,26.752,19.023333,61.95,,
83319,31/10/1999,0000,0,0.731183,6,217.3,,,192.1,6.096774,10,125.6,,967.622581,35.664516,27.438065,21.167742,69.290323,,
83319,30/11/1999,0000,0,0.68,3,103.8,,,199.1,6.911111,13,254.7,,966.723333,32.373333,25.657333,21.226667,85.091667,,
